inchi,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166
Bolinopsis_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,15,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,2,0,6,0,0,0,18,1,0,0,3,5,3,2,0,2,1,30,14,22,2,0,21,3,6,0,0,3,0,2,0,23,0,0,0,1,0,22,23,0,2,0,2,2,22,15,0,3,3,3,7,2,0,0,2,2,0,2,29,18,0,0,0,31,3,5,9,40,5,23,2,0,1,40,15,5,5,3,20,2,5,29,22,41,9,44,40,5,23,6,1,40,21,0
Bolinopsis_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,3,0,19,5,0,1,3,3,0,1,0,1,2,13,7,18,1,0,20,3,4,0,0,1,0,0,0,10,0,0,0,0,0,18,13,0,0,2,5,1,18,1,0,6,6,0,1,0,0,0,0,1,0,0,25,3,0,0,0,19,6,2,3,22,15,25,0,0,0,22,1,0,15,0,22,2,2,19,11,37,3,35,22,15,25,15,0,22,15,0
Bolinopsis_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,4,0,21,6,0,1,4,3,0,1,0,1,2,15,8,19,1,0,21,4,4,0,0,1,0,0,0,11,0,0,0,0,0,19,15,0,0,2,5,1,19,1,0,8,8,0,1,0,0,0,0,1,0,0,27,3,0,0,0,20,8,2,3,23,15,28,0,0,0,23,1,0,15,0,24,2,2,20,12,40,3,37,23,15,28,20,0,23,20,0
Bolinopsis_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,3,0,19,4,0,1,3,2,0,1,0,1,3,12,7,17,1,0,21,3,4,0,0,1,0,0,0,8,0,0,0,0,0,17,11,0,0,2,5,1,17,1,0,6,6,0,1,0,0,0,0,1,0,0,25,2,0,0,0,18,6,2,4,22,16,24,0,0,0,22,1,0,16,0,21,3,2,18,10,36,4,34,22,16,24,15,0,22,15,0
Bolinopsis_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,8,0,0,2,0,2,0,1,0,1,0,6,5,8,1,0,10,0,0,0,0,2,0,1,0,5,0,0,0,1,0,8,4,0,0,0,3,1,8,4,0,0,0,0,1,1,0,0,0,0,1,1,11,3,0,0,0,10,0,3,1,11,10,10,0,0,0,11,4,1,10,0,10,0,3,9,8,16,1,18,11,10,10,0,0,11,0,0
Bolinopsis_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,6,2,15,2,0,6,1,7,0,0,0,0,0,20,15,17,0,0,15,1,2,0,0,6,0,0,0,17,2,2,0,0,0,17,17,0,6,0,0,0,17,7,2,1,1,0,0,0,0,0,6,4,2,0,29,5,0,0,0,17,1,6,3,20,5,26,6,0,4,20,7,0,5,0,26,3,6,17,19,32,3,39,20,5,26,27,4,20,27,0
Bolinopsis_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,4,0,3,0,0,0,0,3,14,7,10,0,0,15,0,5,0,0,2,0,0,0,12,0,0,0,0,2,10,10,0,0,0,2,0,10,7,0,0,0,0,3,0,0,0,0,0,2,0,19,4,0,0,0,13,0,4,6,19,6,13,0,0,1,19,7,0,6,0,13,1,4,13,15,21,6,23,19,6,13,6,1,19,6,0
Bolinopsis_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,5,0,4,0,0,0,0,3,20,11,13,0,0,18,0,5,0,0,3,0,0,0,16,0,0,0,0,2,13,13,0,0,0,2,0,13,11,0,0,0,0,4,0,0,0,0,0,3,0,24,6,0,0,0,17,0,5,7,24,8,17,0,0,1,24,11,0,8,0,17,1,5,17,21,27,7,30,24,8,17,6,1,24,6,0
Bolinopsis_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,10,0,0,1,2,1,1,1,0,2,1,10,5,10,1,0,13,2,3,0,0,1,0,0,0,8,2,0,0,0,0,10,9,0,0,1,6,1,10,3,0,2,2,1,2,0,0,0,0,1,0,0,15,2,0,0,0,12,2,3,3,15,9,12,0,0,2,15,3,1,9,1,11,1,3,12,9,22,3,22,15,9,12,15,2,15,20,0
Bolinopsis_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,13,2,0,3,0,4,0,0,0,0,0,14,7,15,0,0,15,0,8,0,0,3,0,0,0,17,0,1,0,0,0,15,14,0,2,1,3,0,15,2,1,0,0,0,4,0,0,0,2,2,1,0,24,10,0,0,0,19,0,3,5,24,7,19,2,0,2,24,2,0,7,0,19,1,3,19,14,28,5,32,24,7,19,12,2,24,12,0
