,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78
Nematostella_1,3.0556102585620915,0.38161800679885527,2.107263563013283,1.9592151862115617,3.3931113342151464,2.559288298705395,2.2683648720011025,3.6111553468326094,2.4035718255235845,2.1451046294645537,2.8063816873167093,1.7839293986579667,2.6761390889863668,2.0544294638166676,2.9346513100106324,3.0034036944986533,2.5560583737741625,2.106328026371375,2.866281057011937,2.5628583328794163,2.5502985996926477,2.340987238250878,2.7344596621520973,2.3588579644868513,2.7452733516186574,2.3938181148111246,2.5745685108199927,2.504520251778547,2.569631154565545,2.58864324101301,2.465107655441557,2.4252996914874188,2.411967221820032,2.7179295679377944,2.4601181608018075,2.4869450180270745,2.6056010400884486,2.5413985569931663,2.5538643561052643,2.561023952500358,2.5179597118999633,2.5545906808438756,2.5455130281943092,2.5283631728207636,2.5369775008761777,2.536628943142929,2.5355977592408263,2.5433823287018273,2.5419120221972,2.541758565647593,2.541621652655109,2.5417584142693985,2.5417584142694007,2.541758414269401,2.5417584142694007,2.5417584142694016,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694016
Nematostella_2,0.869092144551354,3.1044024262337957,3.2064695037275146,1.5658201277160089,2.9837746254362623,2.0941049326653154,2.3033693937796347,3.2928654875310164,2.966185443400363,3.0975994242512974,3.0480047013721387,2.944274710755013,2.413015146010011,2.4198397563731238,2.298440519563575,2.7204222608397717,2.64791537710099,2.3454932022838784,2.6803439258013113,2.3606457933705585,2.234835292424464,2.5536021479226014,2.702336374490036,2.548555223473868,2.3754771599575095,2.514830167923312,2.5236873149888845,2.524110725873034,2.539602142830976,2.4185379945504106,2.5723144418169945,2.5435091381048043,2.5846609221340984,2.481623741688053,2.556930674007491,2.539518106958765,2.5172526264324713,2.52468157612176,2.5333558186288387,2.5565127543000323,2.5467033419561376,2.549083637091103,2.5499537623237916,2.5391563219676745,2.5426988048499175,2.531549769123414,2.5407350855796005,2.541481543987655,2.543191234785846,2.5421138451966363,2.5425618755724626,2.541758414269403,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401
Nematostella_3,0.4797616337843533,3.514064628204989,2.637765929448724,3.4504401923817705,3.2169341319606772,2.6075471012193243,2.3261155433052108,3.484728655313593,2.8641007422827527,3.0237455776838997,2.5258084774032117,3.0844441896969435,3.300646543941932,2.460124520152034,2.164476920657945,2.513070398161904,2.993349210990747,2.5859494017309634,2.618475626485574,2.518932164982509,2.3870520529595067,2.6327095370414106,2.80616955939779,2.5515880592889895,2.4463734017416967,2.472736534421967,2.5051815807763522,2.4702961475845377,2.5882215344726043,2.573441844438953,2.6193574341759467,2.519975609762648,2.5607095419957533,2.5173031939715744,2.5574587783483556,2.5321269660858525,2.558508864437459,2.5401526087761988,2.5262452054223736,2.518383569222741,2.5281022401098228,2.5616840076393186,2.5459066997798585,2.530423226238835,2.548501887799581,2.532889716861615,2.538863113075885,2.538784654228439,2.544355457622516,2.5434081746800867,2.5418805282586208,2.541758414269403,2.5417584142694016,2.541758414269401,2.541758414269401,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401
Nematostella_4,0.4797616337843533,3.514064628204989,2.637765929448724,3.4504401923817705,3.2169341319606772,2.6075471012193243,2.3261155433052108,3.484728655313593,2.8641007422827527,3.0237455776838997,2.5258084774032117,3.0844441896969435,3.300646543941932,2.460124520152034,2.164476920657945,2.513070398161904,2.993349210990747,2.5859494017309634,2.618475626485574,2.518932164982509,2.3870520529595067,2.6327095370414106,2.80616955939779,2.5515880592889895,2.4463734017416967,2.472736534421967,2.5051815807763522,2.4702961475845377,2.5882215344726043,2.573441844438953,2.6193574341759467,2.519975609762648,2.5607095419957533,2.5173031939715744,2.5574587783483556,2.5321269660858525,2.558508864437459,2.5401526087761988,2.5262452054223736,2.518383569222741,2.5281022401098228,2.5616840076393186,2.5459066997798585,2.530423226238835,2.548501887799581,2.532889716861615,2.538863113075885,2.538784654228439,2.544355457622516,2.5434081746800867,2.5418805282586208,2.541758414269403,2.5417584142694016,2.541758414269401,2.541758414269401,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401
Nematostella_5,0.4797616337843533,3.514064628204989,2.637765929448724,3.4504401923817705,3.2169341319606772,2.6075471012193243,2.3261155433052108,3.484728655313593,2.8641007422827527,3.0237455776838997,2.5258084774032117,3.0844441896969435,3.300646543941932,2.460124520152034,2.164476920657945,2.513070398161904,2.993349210990747,2.5859494017309634,2.618475626485574,2.518932164982509,2.3870520529595067,2.6327095370414106,2.80616955939779,2.5515880592889895,2.4463734017416967,2.472736534421967,2.5051815807763522,2.4702961475845377,2.5882215344726043,2.573441844438953,2.6193574341759467,2.519975609762648,2.5607095419957533,2.5173031939715744,2.5574587783483556,2.5321269660858525,2.558508864437459,2.5401526087761988,2.5262452054223736,2.518383569222741,2.5281022401098228,2.5616840076393186,2.5459066997798585,2.530423226238835,2.548501887799581,2.532889716861615,2.538863113075885,2.538784654228439,2.544355457622516,2.5434081746800867,2.5418805282586208,2.541758414269403,2.5417584142694016,2.541758414269401,2.541758414269401,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401
Nematostella_6,0.4797616337843533,3.514064628204989,2.637765929448724,3.4504401923817705,3.2169341319606772,2.6075471012193243,2.3261155433052108,3.484728655313593,2.8641007422827527,3.0237455776838997,2.5258084774032117,3.0844441896969435,3.300646543941932,2.460124520152034,2.164476920657945,2.513070398161904,2.993349210990747,2.5859494017309634,2.618475626485574,2.518932164982509,2.3870520529595067,2.6327095370414106,2.80616955939779,2.5515880592889895,2.4463734017416967,2.472736534421967,2.5051815807763522,2.4702961475845377,2.5882215344726043,2.573441844438953,2.6193574341759467,2.519975609762648,2.5607095419957533,2.5173031939715744,2.5574587783483556,2.5321269660858525,2.558508864437459,2.5401526087761988,2.5262452054223736,2.518383569222741,2.5281022401098228,2.5616840076393186,2.5459066997798585,2.530423226238835,2.548501887799581,2.532889716861615,2.538863113075885,2.538784654228439,2.544355457622516,2.5434081746800867,2.5418805282586208,2.541758414269403,2.5417584142694016,2.541758414269401,2.541758414269401,2.5417584142694016,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401
Nematostella_7,5.577970308558022,2.2958030687184765,1.8647898136946344,1.642307268938739,3.3630844649263874,2.369068605357666,2.088088658826002,3.6865992601876663,2.207982194369045,2.53292979853124,2.402236211742097,1.660597967022572,3.3117996317751235,3.0433708893309275,3.37292170500442,2.5797830595994493,2.190875547490575,2.4198087410760154,2.5077609426496785,2.7069000475067972,2.607808402389747,2.3981396306104528,2.685821774254176,2.507331425209318,2.418226354901521,2.5423120232957777,2.6170533146029227,2.5159786535767386,2.4286238629434593,2.4348523848363532,2.4762206740195993,2.537660990171852,2.4134986872706286,2.6133906165772176,2.514509712000823,2.4956598367541503,2.5625524666962205,2.4958868134523913,2.5448143352806034,2.542926639970996,2.5393531432921637,2.555910697653182,2.5425206988834623,2.5427798759627303,2.5429331328416707,2.529027764239243,2.5416257829782776,2.547328401038093,2.5477199190932835,2.540823802985605,2.54118574088332,2.5417584142693994,2.5417584142694007,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007
Nematostella_8,1.4312987066312912,2.4475982843374844,2.046346627397399,1.0418414672018514,3.6440412077644204,3.1922151922370197,1.6017837879827828,3.0377619937776124,2.235287801928582,2.641515989305669,3.3348919129397787,2.9291651763322077,2.5928378502614837,2.834524175375756,3.5818923529454842,2.3717887554788044,2.527236300946844,2.868897579460683,2.2013514806796053,2.332444667348302,2.32803100101102,2.666617003825733,2.620118267308169,2.6568128317561728,2.43108799396494,2.61675319736774,2.6949502987011122,2.524121568362925,2.46469245277733,2.508512898220212,2.5738074436793994,2.598684076038373,2.5416044245046594,2.404527599802409,2.589843247410561,2.564331559727373,2.52784594092178,2.518425768314096,2.5665859910420985,2.4899364524841294,2.5790973475473713,2.5449916766470815,2.54871543644043,2.5610823877264437,2.5525033424701737,2.535427189897458,2.546533017041686,2.540001543761154,2.5474728802841815,2.5419633579261354,2.5429312459917925,2.541758414269403,2.5417584142694016,2.5417584142694007,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694016
Nematostella_9,1.2985805427098256,2.457438540242631,1.9767955948577836,1.2343906525911124,3.0511931410126785,3.0243705897198883,1.928460514527575,2.024936323467474,1.7274424714313001,2.8732202101900777,3.3496909029729283,2.557921549473378,2.4717443208509975,2.258417077082759,3.400355356654201,2.6000277339123916,2.5393584843877988,3.163920556043812,2.468693666666968,2.8127650583020753,2.5303024343812655,2.489791231436057,2.513929877369006,2.5628012361878647,2.3972370465225854,2.5515789010596013,2.513959179934836,2.57056105568067,2.4828860864720412,2.4461930990668477,2.510732922356279,2.5732302463043437,2.5521678442472564,2.4965315980311087,2.549029416282283,2.5449332342674196,2.5089014671077132,2.513411372790581,2.5192465615181763,2.5297523149169123,2.5478378466166163,2.53886944757584,2.544349471179943,2.5477976605864407,2.5493900256016153,2.543527309822064,2.5478450351616426,2.539033727805283,2.542164965465721,2.5408929721898263,2.542206753243426,2.541758414269403,2.5417584142694016,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694016
Nematostella_10,1.1792124818615703,2.5104698255197944,1.8435140023220222,1.3299966185208247,2.7598390370663943,2.9594338495168233,1.86502294240389,1.598779080122077,2.5857622701804193,2.2201647816298298,3.4064487521363844,2.2681121592641507,2.541727672540837,2.333957647381233,3.1889637813135074,2.835665978323024,2.7251227845543076,2.7589423732771303,2.521167347824724,2.5418169760249643,2.539634789008173,2.397243766616987,2.4505828507892087,2.4790026876449773,2.4960735115644717,2.5706094336688725,2.502310210363343,2.528195320376997,2.5715769085242806,2.4513136726382885,2.541024552641578,2.530988657283331,2.5662642177922814,2.5266815037579082,2.53547444404925,2.5284059171103928,2.511341952270382,2.5404742813698364,2.5274324165279696,2.5426054199182975,2.529591103865132,2.5360280085042635,2.5422643678099606,2.538453755975345,2.5419414496300297,2.5470232291317205,2.5442934329673603,2.5390987645666594,2.5407190414616236,2.540862478660001,2.5424227628352725,2.541758414269403,2.5417584142694016,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.5417584142694007,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401,2.541758414269401
