inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166
"InChI=1S/C10H9N3O/c1-7-11-10(14)9(13-12-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,11,12,14)",1.011610667,0.804493015,1.721334594,1.072144224,1.186736595,1.194539631,1.004942472,1.262657469,1.149361411,1.219773906,1.244102418,1.30350212,1.100566552,1.297821922,1.237799522,1.045002498,1.218942205,1.396292521,1.324551754,1.279413554,1.561666891,1.250343754,1.335154933,1.171119498,1.189949796,1.219931457,1.129878866,1.298200133,1.510313082,1.324489764,1.298695257,1.467627679,1.256796506,1.393829986,1.398824646,1.368976475,1.409700147,1.223548901,1.266839344,1.31369918,1.325340409,1.33335115,1.366776148,1.331021446,1.328104781,1.317712904,1.259753323,1.310753028,1.277966328,1.276582019,1.373896674,1.294070736,1.327369223,1.329852443,1.24052989,1.306154998,1.300570711,1.291456515,1.221761965,1.341215431,1.282325909,1.351205799,1.272686258,1.228773201,1.299808858,1.295772866,1.361458875,1.242857164,1.363874993,1.261694483,1.25451415,1.308239934,1.227872556,1.329110864,1.282576987,1.234833204,1.227272768,1.317667687,1.25631435,1.352886868,1.32408192,1.345952931,1.273425053,1.283973088,1.300376718,1.277935696,1.33984086,1.289553842,1.304196367,1.246654362,1.30047744,1.31945913,1.290927436,1.304479567,1.325900766,1.317374228,1.242679756,1.281734737,1.306071164,1.281471305,1.252477256,1.290889438,1.324513489,1.290624016,1.318786632,1.298595848,1.298957989,1.280433883,1.297079047,1.259463916,1.339626806,1.296155674,1.310247165,1.280688355,1.301220798,1.298130716,1.289272985,1.306030176,1.273037291,1.292427162,1.289730704,1.289006351,1.288894759,1.296454686,1.291940982,1.297598722,1.294394242,1.300824406,1.290257871,1.294496016,1.294727331,1.295949925,1.291590005,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",0.914684254,0.722525488,1.054387199,1.330767244,1.061203665,1.174127226,1.115122645,1.32700412,1.46791455,1.308871735,1.301209641,1.237855405,1.225904897,1.352786915,1.07937125,1.415903881,1.50965768,1.055783021,1.409203892,1.662185366,1.661447333,1.367522748,0.921289954,1.421119473,1.194507956,1.769522864,1.047135048,1.0653539,1.179138911,0.977718945,1.314506959,1.300932325,1.443259637,1.272291951,1.305829926,1.160685661,1.29646717,1.240062642,1.304749219,1.318692026,1.281116753,1.286756122,1.272992716,1.300317999,1.290439673,1.387675805,1.2726163,1.293321172,1.261226618,1.381798348,1.338259905,1.325412125,1.283799387,1.363336068,1.296552045,1.418107983,1.325169074,1.259141336,1.313835449,1.34123337,1.276617708,1.317450424,1.191626324,1.408261982,1.465790849,1.197218317,1.132854757,1.240838169,0.9816277,1.213041266,1.316622651,1.095475993,1.286885181,1.832504962,1.769784426,1.091699845,1.323035202,1.332169205,1.46630229,1.457360795,1.405506296,1.116325389,1.36859329,1.259936509,1.274162256,1.212830275,1.280360996,1.228614418,1.257523419,1.298470206,1.336116676,1.294514003,1.314600943,1.289786937,1.292317681,1.2944543,1.315386842,1.277734372,1.323502963,1.297010276,1.297390058,1.288850942,1.311230993,1.310560295,1.301608479,1.303946938,1.300843072,1.305299299,1.286724459,1.300967456,1.298964024,1.298654813,1.295939689,1.294908611,1.293387042,1.292901981,1.295230566,1.290814292,1.295843569,1.292708574,1.294046623,1.295512217,1.295607582,1.292883879,1.296380814,1.295699607,1.295098709,1.295354461,1.29540085,1.295535561,1.295677231,1.295425416,1.29547431,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C14H19NO2/c1-4-12-7-5-6-10(2)14(12)15-11(3)8-17-9-13(15)16/h5-7,11H,4,8-9H2,1-3H3",1.05085135,1.24158541,1.39728183,0.994089741,1.217819257,1.076731685,1.308625042,1.048271748,1.312784478,1.425103315,1.49514493,1.282779698,1.208348603,1.25975164,1.094834182,1.485182426,1.236317314,1.439120411,1.468283024,1.048198075,1.127134849,1.355143325,1.310671381,1.284688931,1.459921623,1.356531729,1.168633615,1.366039164,1.360301931,1.232684841,1.307796048,1.298306539,1.253891112,1.227046191,1.373867172,1.285847098,1.207945662,1.154279046,1.276834741,1.142387684,1.345706679,1.189143543,1.282191032,1.249620015,1.387483962,1.403224035,1.339353078,1.289950555,1.394862607,1.285259054,1.412170941,1.19048397,1.250026586,1.46109522,1.208513125,1.377621467,1.206968878,1.252530608,1.255237234,1.331675345,1.257065314,1.237513612,1.285505414,1.292994955,1.272527595,1.248034762,1.272656785,1.35517664,1.290380319,1.281005283,1.257954154,1.355670324,1.298651409,1.362734857,1.259788739,1.311865655,1.248772948,1.301168779,1.307036562,1.228254364,1.361666516,1.330469775,1.29609576,1.311104201,1.298341678,1.31152772,1.277292227,1.307984277,1.338517908,1.315553793,1.265212942,1.290833888,1.319638724,1.289041823,1.303208021,1.274595853,1.323904809,1.273722658,1.320238433,1.290572102,1.268141457,1.304826606,1.281477848,1.281256399,1.282466733,1.282276083,1.31143297,1.27374722,1.295060176,1.285201378,1.313769047,1.29049863,1.302025487,1.300860556,1.304189258,1.281081144,1.298855327,1.300134611,1.295586473,1.294623935,1.28801182,1.294903408,1.2984614,1.290420125,1.296556514,1.294365556,1.294216351,1.29560315,1.294544046,1.293429998,1.293959034,1.295987409,1.293587411,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-7-5-6-8-11(10)13/h5-8H,3-4,9H2,1-2H3",0.697414676,1.200428416,1.146580046,1.225697411,1.129504969,1.168861134,1.343870485,1.190879317,1.517357975,1.313491515,1.642028881,1.103248343,1.062365495,1.236261946,1.372131787,1.435402186,1.278623422,1.121541066,1.590164966,1.112420264,1.155601571,1.113590526,1.180478343,1.314176126,1.309783285,1.367546689,1.389538243,1.512638611,1.149354218,1.502503525,1.314534237,1.379419254,1.486961186,1.176323591,1.483899899,1.190760378,1.435218156,1.433088507,1.333025748,1.432738688,1.224752158,1.278554136,1.166324174,1.359763352,1.329334727,1.286185736,1.272262764,1.268144784,1.248994852,1.193858677,1.295333667,1.313300375,1.26607761,1.364855854,1.279495559,1.307731528,1.290379207,1.230599192,1.348831729,1.281600188,1.355719515,1.393982639,1.269065595,1.312598504,1.307287545,1.357386381,1.304829152,1.247020555,1.317349204,1.246927981,1.296868909,1.257819808,1.290066863,1.321652124,1.257560876,1.300278595,1.290115378,1.304044797,1.27960779,1.250439587,1.275985569,1.274216097,1.305238923,1.271562213,1.302645286,1.290813619,1.306888092,1.320198893,1.293533068,1.286052885,1.319851084,1.299278612,1.279578775,1.310549696,1.283333759,1.388199011,1.281482622,1.292131876,1.292896607,1.281103756,1.316399034,1.298491528,1.275258294,1.294682375,1.298915573,1.252924585,1.241001131,1.324071922,1.298119025,1.278978391,1.34354104,1.27714929,1.289010186,1.277105389,1.309195592,1.281587561,1.303165185,1.291704543,1.288908092,1.27154844,1.329427115,1.280275045,1.316384493,1.302412313,1.28963232,1.29358207,1.289335333,1.301810525,1.296645478,1.297633462,1.292400284,1.295586267,1.296833872,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C14H21NOS/c1-3-10-15(11-4-2)14(16)17-12-13-8-6-5-7-9-13/h5-9H,3-4,10-12H2,1-2H3",0.667836737,1.286373457,1.093325883,1.192131323,1.234332023,1.225123183,1.376880931,1.165264227,1.517816396,1.261776341,1.646406708,1.06850359,1.077651825,1.213864512,1.433991421,1.258352496,1.214781559,1.252887345,1.577342594,1.018679087,1.101249152,1.061118474,1.185122138,1.331664037,1.384021907,1.481524709,1.326272669,1.382733077,1.168347964,1.49386898,1.32785387,1.368713369,1.487658048,1.223926225,1.430497017,1.245011951,1.408220285,1.373923078,1.223900625,1.327189152,1.254473948,1.219573305,1.200354846,1.307041603,1.312467391,1.30562055,1.204312459,1.242569436,1.334076565,1.318862536,1.344476785,1.342408903,1.257977288,1.373451344,1.304742839,1.243741695,1.224635651,1.187327119,1.440489443,1.309491603,1.300340776,1.321411137,1.293859182,1.318935083,1.293636919,1.27780911,1.310323406,1.258725777,1.325971207,1.295324892,1.32760513,1.283042138,1.266950214,1.301173315,1.281514463,1.284259353,1.267524434,1.244732942,1.291469089,1.228653259,1.354132707,1.275480366,1.294664538,1.288801126,1.296078998,1.278744811,1.312912771,1.340992932,1.30216552,1.296393401,1.317014081,1.30950568,1.290200552,1.312096259,1.291442797,1.376159902,1.29498491,1.284657264,1.2766883,1.287316656,1.29931276,1.29862143,1.270258568,1.302764725,1.30101587,1.254199634,1.248619889,1.327330307,1.310043521,1.285095432,1.336397249,1.295079603,1.295172194,1.282898253,1.304260536,1.278867797,1.299905318,1.286894324,1.291957727,1.271831472,1.328978024,1.277547723,1.321249076,1.302264192,1.291366531,1.293233681,1.287504008,1.301683716,1.296184966,1.297375937,1.292108708,1.295691973,1.29605986,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,0.791059598,0.695866634,1.060350127,1.30615658,1.069483726,1.157458125,1.073464256,1.319827051,1.509240554,1.327681952,1.364541974,1.27354426,1.178910691,1.314340109,1.036581159,1.542451735,1.489347335,0.978655001,1.449928275,1.722861746,1.721821518,1.484566721,0.838901593,1.360340135,1.115172111,1.577777298,1.075613348,1.220926404,1.12110155,1.050117582,1.242499277,1.191871178,1.427207384,1.2497767,1.376658272,1.227567328,1.296528857,1.320006985,1.33719252,1.347467754,1.29117222,1.239780479,1.246185333,1.24417815,1.251214015,1.306962273,1.304133249,1.315954899,1.292747948,1.31255477,1.324540517,1.213669661,1.271698562,1.359319779,1.320957657,1.330196201,1.262302798,1.291317656,1.288808633,1.260830433,1.315644268,1.367972034,1.284684918,1.270299719,1.315456602,1.318604747,1.296181203,1.304641351,1.2649982,1.295638122,1.298464575,1.304411992,1.282895004,1.274132151,1.230374122,1.331402735,1.269627361,1.299113082,1.311851518,1.279330668,1.31013528,1.291852256,1.279171936,1.288781199,1.33725172,1.290020859,1.29702753,1.284405958,1.298429353,1.300060669,1.274381061,1.281705938,1.275011305,1.316930772,1.307316338,1.251332443,1.295891139,1.315440958,1.341545119,1.314868048,1.306854901,1.28372326,1.335049172,1.329374759,1.28706784,1.293195036,1.296323502,1.315794976,1.289386751,1.309095163,1.301668273,1.30191812,1.307256957,1.290996903,1.292542003,1.290242622,1.290509858,1.292286232,1.295255516,1.289278127,1.289762358,1.29795649,1.293930468,1.293451223,1.295703889,1.293648663,1.294232655,1.297726006,1.29654593,1.295379331,1.295462182,1.295160401,1.295501713,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)",0.858164399,0.727867252,1.137298136,1.305397918,1.115180236,1.268903693,1.1929504,1.276936369,1.46677586,1.379242545,1.253206343,1.210791965,1.234115,1.492684916,1.163719408,1.451768076,1.344433561,1.086221318,1.389786013,1.392689728,1.425984086,1.515765084,1.17982884,1.276389458,1.187129283,1.103440978,1.364811097,1.510393969,1.202548123,1.37210272,1.220740707,1.169852617,1.209285368,1.379614922,1.398364546,1.271087098,1.324725854,1.311306455,1.264968677,1.31496669,1.25742564,1.317685248,1.278650871,1.291993471,1.274435973,1.308065923,1.284543987,1.303223435,1.214691667,1.310326969,1.328443947,1.25997019,1.36010457,1.391009701,1.242916415,1.284860809,1.309952768,1.300465627,1.288184377,1.239932118,1.333198647,1.336084315,1.300735836,1.227009044,1.321320111,1.358197614,1.238465011,1.239486515,1.305617171,1.321834445,1.319629695,1.318042528,1.291028377,1.296022007,1.290248493,1.278825855,1.276606952,1.282305024,1.283960858,1.29039338,1.274209798,1.281462818,1.308177505,1.306326125,1.300881375,1.279018993,1.272601376,1.320043388,1.312444609,1.29459831,1.279940724,1.290318644,1.28689614,1.31491744,1.296949539,1.283851794,1.28355556,1.29493013,1.284054166,1.303428734,1.318318623,1.261977194,1.308016014,1.300651167,1.296677326,1.285678194,1.29861072,1.307046583,1.297886321,1.304549987,1.294418682,1.295931082,1.303281777,1.300187986,1.296423406,1.293516849,1.281769829,1.292386786,1.295395247,1.296856659,1.293049392,1.299296038,1.290453145,1.299346929,1.292949974,1.3014457,1.293998832,1.299845305,1.298551565,1.294218079,1.294650005,1.294934038,1.295896687,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C15H18ClN3O/c1-11(12-2-3-12)15(20,8-19-10-17-9-18-19)13-4-6-14(16)7-5-13/h4-7,9-12,20H,2-3,8H2,1H3",0.869094002,0.986998121,1.681093784,0.940633814,1.360653019,1.27089212,0.914724248,1.049835679,1.291216719,1.084105463,1.400052062,1.425889567,1.059339867,1.067937464,1.403291248,1.41018493,1.117436668,1.247999329,1.460228471,1.424128605,1.591452732,1.459694762,1.663817437,1.844701398,1.017538614,1.042651864,1.116043972,1.195544973,1.168695167,1.527178469,1.175350656,1.509545888,1.245554715,1.415717833,1.197477757,1.324642217,1.273445217,1.231513002,1.3414177,1.338727423,1.351504343,1.276907582,1.264288625,1.254710518,1.270583321,1.349742098,1.296884306,1.287330279,1.332930243,1.369534226,1.260658064,1.319740038,1.255887788,1.187437893,1.33673973,1.304761039,1.327426366,1.432029437,1.343079426,1.165370839,1.022155175,1.391430159,1.183000307,1.411617661,1.388028896,1.351821454,1.407023821,1.15168716,1.322669401,1.306547812,1.296188616,1.349127086,1.334579925,1.292516614,1.243840299,1.232201058,1.315985291,1.326018177,1.221762809,1.330985835,1.238273497,1.270411724,1.356378687,1.275554882,1.267422455,1.28801918,1.258540775,1.272835401,1.255077027,1.305568111,1.302911615,1.278995668,1.314392561,1.303135091,1.28108371,1.284184693,1.308153032,1.293804287,1.277574658,1.298342136,1.292103457,1.282811042,1.235541957,1.278952067,1.280473282,1.305344397,1.305228539,1.308140678,1.283996843,1.319267927,1.299446365,1.282946656,1.305138824,1.32850939,1.298451243,1.28947179,1.29759121,1.306748762,1.287174618,1.288825829,1.302378951,1.30284057,1.293967179,1.29145532,1.296227106,1.296836127,1.298236786,1.296271946,1.296483635,1.294570361,1.296476735,1.296931058,1.294584029,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C7H3I2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",0.915740717,0.725515444,1.057047038,1.328109892,1.061712187,1.18452985,1.134686988,1.306266517,1.487458038,1.327264219,1.314369756,1.232279922,1.22909695,1.390755974,1.05672893,1.463730621,1.531782682,1.025723466,1.407955486,1.660693024,1.631550754,1.324466558,0.97951063,1.395987012,1.148308429,1.779611505,1.078990796,1.059076007,1.22976238,0.965589965,1.330474777,1.285835658,1.429192618,1.379020247,1.375176836,1.125923432,1.345811318,1.156148285,1.379943771,1.342325047,1.234796513,1.31430201,1.359714265,1.361580322,1.342499888,1.365226481,1.25221676,1.217258959,1.177171244,1.371469345,1.316674159,1.471801354,1.188784308,1.327698499,1.290710957,1.381990226,1.46965728,1.158514479,1.309752499,1.315014298,1.157205444,1.125789069,1.300152958,1.476634692,1.413152659,1.263325957,1.256065127,1.393755631,1.269287287,1.199760827,1.257007028,1.4118496,1.29196285,1.126226981,1.178345777,1.331734213,1.250367131,1.271529398,1.445971458,1.3527512,1.336593741,1.295741678,1.334689305,1.300664434,1.330273319,1.226641557,1.300159872,1.30145996,1.298689438,1.267560062,1.261217357,1.33543497,1.305025484,1.28649329,1.337654847,1.253399753,1.265004323,1.285211501,1.354318441,1.323400916,1.306888103,1.28584279,1.30619728,1.314716487,1.292537421,1.298941234,1.285525603,1.319312969,1.303939663,1.307390104,1.299083361,1.303615188,1.295381562,1.289101379,1.292614149,1.290094916,1.306089942,1.290342625,1.301069728,1.290149358,1.295847947,1.294253736,1.296978949,1.289779947,1.297201013,1.296879759,1.295577048,1.295961194,1.297318858,1.294003334,1.294948035,1.295254488,1.295274603,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
"InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2",0.925380035,0.864571466,1.856779432,1.107526171,1.080450308,1.139797894,1.198877685,1.095753098,1.347339803,1.544630277,1.404261729,1.707742077,1.590949754,1.18580928,0.865067026,1.372458268,1.280271972,1.297887067,1.520187351,1.225285143,1.354864516,1.361726563,1.233231012,1.276278453,1.320428602,0.97707024,1.277479614,1.312862705,1.432184107,1.188861915,1.400187425,1.42489456,1.305415991,1.253658629,1.359488764,1.386734721,1.259876905,1.182948235,1.277417428,1.213973621,1.354328219,1.274819059,1.241957135,1.379213813,1.2598945,1.341705448,1.199791378,1.293238378,1.274482387,1.21654245,1.23941061,1.22723958,1.313799457,1.270241353,1.306841207,1.235671359,1.296399039,1.341986234,1.283515471,1.286144536,1.340981446,1.230584883,1.309296244,1.285263607,1.281680099,1.334177951,1.269788431,1.266407446,1.329711073,1.286417163,1.239616455,1.28264278,1.285036949,1.298142585,1.301634237,1.240690852,1.281543089,1.28139093,1.296014446,1.284114952,1.291632202,1.31281168,1.312694088,1.28169361,1.29215655,1.267058819,1.309239796,1.285228688,1.291039312,1.301391566,1.276342746,1.310384252,1.308543332,1.299289477,1.305917631,1.298320877,1.289551265,1.311528993,1.290328316,1.290322777,1.274597873,1.292523338,1.30994031,1.32050479,1.294166372,1.301968667,1.28983931,1.300472375,1.296208846,1.294684893,1.306099538,1.300901548,1.288292321,1.292354646,1.299198175,1.29166071,1.297762502,1.30216837,1.300867555,1.293977366,1.286523347,1.295591819,1.29449117,1.297703069,1.295299887,1.295212065,1.293313524,1.296405079,1.292192469,1.295260969,1.295478847,1.295231839,1.294901281,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862,1.295504862
