inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
"InChI=1S/C10H9N3O/c1-7-11-10(14)9(13-12-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,11,12,14)",1.985093594,2.026350937,3.158962951,3.12158209,3.470598997,3.121961537,2.704395368,2.815581759,3.140787033,2.962043124,2.617328942,2.911668717,3.385057657,3.23925706,2.767420606,2.981339373,3.14390719,3.328037918,2.721730658,2.915612629,2.823789904,3.098528761,3.066916554,2.833833886,3.210724375,2.933924161,2.81286058,3.197934077,2.920408952,3.018269174,2.866693455,2.87158251,3.382004439,2.959948022,2.845010439,2.918316942,2.794197552,3.045264691,3.029836389,2.912739978,2.926523875,2.966219129,3.110034841,3.027749441,3.250853573,2.948087933,3.088645154,3.089819675,3.178246156,3.025362821,2.619841975,2.987701164,2.797438927,2.907712777,3.219535987,3.007355654,2.936310421,2.994810222,3.004679771,2.953901799,2.919179661,3.025867818,3.048260498,3.027993185,2.960699014,3.040148678,3.007044611,3.074046188,2.882025421,3.147143624,2.874300778,3.061522198,3.014034644,3.091979555,2.920274032,2.971197922,2.843031323,3.071034782,3.046346682,3.20011611,2.901164627,3.01512457,2.914653689,3.013277708,3.095299202,2.931147867,3.052171514,2.933777176,3.06493386,2.829124441,2.85709969,2.999064215,3.102170374,2.984821109,2.992524833,3.064806056,2.891732354,3.023945035,3.013264528,3.035017073
"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",1.916933774,2.484964588,2.468346557,2.726175451,3.277975688,2.643936283,2.952662576,2.534886116,2.9870939,3.091094673,3.121198526,3.024933791,2.890574714,2.980689344,2.762861748,3.138310413,2.9732203,2.777646994,3.281554585,2.990036296,3.021810043,2.98531837,3.226723234,3.019637148,3.191965043,3.12763029,2.939862641,2.71910741,2.901735497,3.019367244,2.976146068,2.984326005,2.764600176,2.958665919,2.973068306,2.894432718,2.85542436,3.00254702,3.00939911,3.025379833,2.954968237,2.914186196,2.986345362,2.932127677,3.03813858,3.021103859,2.983507339,2.993270984,2.933573676,2.948530587,3.016618078,3.112728419,2.91421746,3.052173776,3.037548399,2.950296386,3.037016043,3.022018883,2.987079447,3.022261178,2.947855427,2.962562768,2.994052127,3.033990356,2.96687718,3.019353529,3.02780042,3.010311448,2.936863566,2.931351149,2.994643184,2.996854775,2.938896312,2.975047075,3.076968541,2.943139757,2.900565823,3.002604128,2.996457026,3.021201866,2.976635003,2.929129581,2.998362249,3.048392104,2.986289127,2.970151396,2.910918845,2.995734917,2.980188339,3.018545356,2.982601627,2.891136716,3.088770879,3.018195126,2.98745134,3.049166479,3.029295081,2.995283626,3.005059316,3.036706546
"InChI=1S/C14H19NO2/c1-4-12-7-5-6-10(2)14(12)15-11(3)8-17-9-13(15)16/h5-7,11H,4,8-9H2,1-3H3",2.167703232,2.696220549,3.530692695,3.370323355,2.819576049,1.832512147,3.073054528,3.41880868,3.267393239,2.748957021,2.848651422,2.867338845,2.417582672,2.948309098,2.950837766,3.1436128,2.916898516,3.472804102,3.25802329,3.082945629,2.777358214,3.106846758,3.013804597,3.029625003,3.228811466,2.687375825,2.860302223,2.829930906,3.032915696,2.360285527,2.880354776,3.102061303,3.43190852,3.528280777,2.843956787,2.419201384,3.372853594,2.760164698,2.962176619,3.017229253,2.759782342,3.026367674,3.000140912,3.181259826,3.209021099,2.887812012,3.183949214,3.012923027,3.070176755,3.074512081,2.9956101,3.059882012,2.904438815,2.954061963,2.820929061,3.076709759,3.133585245,2.790284655,2.992391628,3.10572869,2.99220905,2.978831783,2.968130039,2.931075145,2.926885201,3.018456418,3.091751216,2.965109578,2.9995254,2.993123773,2.909835372,2.95637197,3.032937496,3.056337143,2.968062538,2.961062516,2.909299808,2.725702024,2.882164115,2.988573781,3.082401149,2.980396138,2.963812768,3.027868399,3.011790562,2.844597403,2.974778202,2.857838211,3.115296884,3.104519949,2.981256694,3.009080326,2.905506919,3.062374166,3.042693181,2.974794966,3.071260574,3.018407602,3.032900181,2.97957638
"InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-7-5-6-8-11(10)13/h5-8H,3-4,9H2,1-2H3",1.730250004,2.874394189,2.807394644,3.05622248,2.983763725,2.307013307,2.886871369,2.792725945,3.103943516,3.112029369,2.952796931,3.088109943,2.751431966,3.008284798,2.795595713,2.939155957,2.918759471,2.913996432,3.304123785,2.732816879,2.913374465,2.668774579,3.275305981,2.953181,3.110271126,2.811758924,3.085776029,2.983256493,2.933177439,3.112362536,3.148819729,3.166560948,2.798660671,3.246948163,3.264075749,3.399279817,2.933509659,2.794830595,3.198180748,2.92370003,2.98533932,3.136988669,2.991991012,3.101593232,3.118211678,3.128091992,3.19975249,2.845953469,3.037791092,3.041980662,2.966774845,2.800802727,3.073757088,3.10985767,3.163837193,2.906275875,3.088449786,2.948124032,3.024650036,3.026084851,2.95024593,2.91585286,2.949599657,2.950497216,2.961211793,2.931401972,2.849331288,3.018015481,3.043260993,2.912709127,2.96384633,3.053507332,3.078085472,3.030954286,3.187063837,3.084037378,2.984291785,3.063539936,3.113834167,3.058332003,2.966862092,3.085923262,3.051168092,2.979250367,2.992162388,2.972172201,3.073654373,2.986824571,3.002571653,2.940521009,2.975687824,2.918345394,3.023871448,3.006959619,2.968045616,2.965298157,2.942296343,3.006944698,3.002670777,3.013705772
"InChI=1S/C14H21NOS/c1-3-10-15(11-4-2)14(16)17-12-13-8-6-5-7-9-13/h5-9H,3-4,10-12H2,1-2H3",1.715042693,3.004475465,2.862961388,3.059513798,2.909834297,2.271360485,2.897167996,2.817450311,3.13101035,3.102677118,2.944174157,3.080346926,2.738078787,3.173816697,2.704204758,2.897661305,2.928686303,2.997156872,3.426336536,2.728069905,2.898033073,2.620658913,3.196625885,3.013227535,3.166234107,2.733485511,3.13334835,3.082985438,2.897676526,3.192316431,3.190371988,3.195760159,2.911789258,3.198139961,3.317959553,3.410946873,2.926231235,2.815447669,3.183235327,3.070891149,2.968967995,3.172960898,3.051857191,3.136158891,3.063070941,3.126897067,3.131740423,2.870221967,3.142485841,3.081428522,2.97750575,2.699906703,3.084316917,3.128893614,3.096597176,2.875269669,3.027813923,2.961114589,2.964795296,2.955751815,2.961289456,2.906089279,2.950074319,2.982151789,2.964552627,2.858657549,3.000365326,2.982972037,3.059577312,2.969433165,2.993616271,2.945029332,2.929474892,3.042007984,2.997637549,3.048125099,3.0206785,3.22915833,3.024998405,3.034559594,3.061181192,2.865755899,2.999830647,2.971663232,2.992455345,2.971034611,3.053707481,2.879806764,2.927009313,2.995577063,2.942467557,2.920813249,2.944839952,3.058154405,2.906238309,2.904197697,3.006202182,2.961146091,3.005664769,3.131735012
InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,1.685570865,2.436467229,2.362569724,2.649659622,3.533320333,2.811217761,2.838750693,2.723231771,3.236189014,3.205805945,2.689537432,2.809588699,3.277069871,2.974581508,2.950960054,3.023958424,3.242651761,3.011639901,3.127956549,2.830495391,3.009171378,2.999774213,3.101414864,3.108462167,3.069025575,3.085418062,2.936754824,2.998497844,3.070463379,3.043413793,3.03544161,3.018881901,2.916512627,2.99590425,2.930944167,2.911967553,2.932975639,3.056596381,3.001806684,3.041150465,2.944571762,2.97522042,2.966921202,2.962334017,3.036822797,3.00520891,3.036679748,2.977087557,2.984641651,2.967246752,2.97891112,3.080128223,2.888440579,3.007534807,2.993509788,2.956031496,2.982392348,2.999605571,2.994754901,2.993875658,2.932886481,2.972156722,2.98661632,2.972113342,2.945912744,3.001389783,3.033763725,3.011523354,2.893279515,2.8825313,2.990003566,3.041009813,2.936738527,3.014913683,3.061830779,2.90821895,2.898186016,3.003455892,3.002416798,2.932909907,2.971482653,2.98872684,2.996708661,3.038441201,3.012401324,2.990668032,2.958521429,2.9623635,2.982310333,2.992264033,2.981630372,2.921785495,3.012910204,2.942862912,3.028431422,3.006531945,3.029768408,2.994301254,2.977883747,2.957326981
"InChI=1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)",1.806771486,2.375904155,2.335191847,2.742169031,3.459889395,2.842042619,3.131839894,2.770448197,3.307548714,3.329005028,2.585355443,2.985231993,3.267571059,2.972531466,2.910945262,2.785928406,3.359086638,3.030300915,3.095714401,2.996021491,3.041223661,2.908720759,3.02544394,3.004805872,2.904214552,3.093171682,2.8826583,3.00347796,2.987620122,3.065891144,2.969381645,2.969098283,2.884675216,2.953507484,3.04351353,2.874204189,2.943394343,3.02122319,2.997423734,3.07508986,3.02142245,2.961541708,3.034102783,2.897245071,3.034590439,2.925672339,3.012762897,3.026608679,2.994402466,2.902952967,2.997422575,3.182640814,2.895598977,2.973137178,2.975781718,2.870169492,3.02659234,3.106538125,2.98053951,3.032308678,2.793979392,2.986147513,2.906549882,2.948892882,3.01729261,3.008712028,2.921128647,2.944084404,3.085400374,2.889407716,2.98317119,3.033566128,3.070518849,2.950454015,3.039082349,2.974222703,2.966289334,3.04310104,2.992280248,2.926392253,2.925353891,3.002686472,2.950852209,3.01328292,2.993592229,2.925067582,3.01870561,2.907257912,2.994757345,3.032237959,2.983285356,2.916690688,3.021178974,3.004662004,3.012528152,3.026215851,3.039268717,2.955949504,2.957797775,2.89931451
"InChI=1S/C15H18ClN3O/c1-11(12-2-3-12)15(20,8-19-10-17-9-18-19)13-4-6-14(16)7-5-13/h4-7,9-12,20H,2-3,8H2,1H3",2.336343192,2.22721426,3.698231645,2.924114077,3.020825008,3.057048913,2.86431984,2.709237828,3.172695739,2.994417681,2.945484576,3.277395105,2.618013991,3.36489791,2.666156242,2.755656321,3.172752647,2.626987323,2.890711252,2.886447494,2.808866171,2.995322599,3.180500031,2.806102387,3.344566079,3.21376974,2.711214232,3.408991443,3.069542538,2.796592809,2.695347671,2.666315937,3.071119004,3.021482981,3.280513061,2.749530369,2.990732378,3.23537539,2.847823011,3.018148118,3.153854676,2.949299933,3.044426776,3.109972487,2.871188785,2.875815893,3.078970145,3.074288919,3.15063406,2.981617788,2.941913939,3.325733556,2.993137167,2.826746305,3.065547476,3.13935945,2.659198428,3.263364143,3.150687061,3.06756262,2.932383209,3.021345203,2.801097359,3.034972129,2.92836611,2.981257389,3.019533839,2.9575134,3.145884428,3.052559306,2.919893816,2.978517711,3.134388392,3.057968195,2.995610349,3.052257766,3.051563112,2.893979053,2.907508118,3.05046957,3.032926032,2.948439691,2.950469999,2.932199505,2.922767781,3.088760607,3.043433098,2.990690193,3.046558444,3.041899349,2.982422414,2.993791748,3.016829165,2.974552626,2.925463777,3.017650822,3.016907345,3.007507067,3.037880473,3.004399958
"InChI=1S/C7H3I2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",2.086549562,2.65238989,2.610817001,2.743593814,3.029595209,2.683521898,3.041726154,2.303488288,2.732506889,2.925739324,3.247943139,3.037954647,2.976743859,2.787352812,2.743131197,3.177686807,3.543602332,2.864449479,3.155995096,2.819087289,3.122633235,3.123324315,3.162725102,3.264396546,2.989298369,3.004093781,2.996591046,2.772383305,2.985957933,3.097886818,2.933306719,3.028756761,2.632025443,2.979363999,2.788985142,2.922452334,2.834388273,3.023850982,3.032481174,3.003652554,2.877797845,2.889392594,3.029661588,2.917757882,3.05123228,3.098726401,2.967761949,2.964300028,2.935223693,2.939282673,3.035116835,3.091981246,2.86722204,3.060938944,3.046763687,2.949007155,3.031956379,3.005049184,2.973973936,3.030755205,2.942911939,2.966551561,3.006218342,3.034046883,2.966791518,2.99824608,3.027172633,3.013573144,2.93512757,2.961253468,2.98747773,3.001169785,2.951635796,2.932763213,3.059628485,2.964357688,2.891025274,3.007826938,3.010696282,3.023489192,2.997382767,2.919799904,2.984257724,3.027897641,2.951869147,2.944679145,2.917200472,3.00668829,2.981920105,3.043463673,2.980749379,2.880814693,3.123015427,3.040831609,2.976443426,3.035724118,3.033789118,2.99051861,2.999969191,3.027176898
"InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2",1.979528409,2.17992069,3.423930197,3.292058783,3.110193452,2.410948068,3.018442015,2.84719449,2.781216166,2.617911893,2.812520382,3.155959816,2.678396049,3.24224478,3.568694209,2.999396912,2.704879106,3.183092463,3.067519745,2.997095674,2.673653262,3.515160693,2.832232488,2.8247393,3.187006149,3.033261329,2.552280899,2.920924793,2.882919696,3.211401622,2.959870779,3.034570313,2.996902238,2.812622866,2.821058954,2.809198693,2.952202655,2.993186444,3.079768794,3.011624727,2.862229736,3.140158602,2.968716224,3.004512125,3.269309488,2.822470607,3.113500994,2.967981334,2.865534126,2.942847018,2.760005893,2.944089098,3.140623831,2.995151292,2.843554771,3.042664925,2.943209206,2.977365351,2.923825852,3.007117793,3.023976478,3.034213391,2.988346264,2.935534449,2.955068456,2.885851887,3.020582144,2.910696459,2.94265047,3.134767199,2.966030633,3.045613952,3.065534075,2.908874908,3.01724654,2.936400499,2.925340002,3.011318223,3.081017158,3.002151667,2.970805023,2.922612868,2.996236929,3.00371582,2.96654903,2.899415572,3.008864402,2.919694582,2.997385498,2.99234498,3.064113245,3.012827663,3.021430231,2.970467414,2.961737838,2.978737171,2.978393135,3.004635622,2.977407137,2.956522892
