inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,PC189,PC190,PC191,PC192,PC193,PC194,PC195,PC196,PC197,PC198,PC199,PC200
"InChI=1S/C10H9N3O/c1-7-11-10(14)9(13-12-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,11,12,14)",1.985093594,2.026350937,3.158962951,3.12158209,3.470598997,3.121961537,2.704395368,2.815581759,3.140787033,2.962043124,2.617328942,2.911668717,3.385057657,3.23925706,2.767420606,2.981339373,3.14390719,3.328037918,2.721730658,2.915612629,2.823789904,3.098528761,3.066916554,2.833833886,3.210724375,2.933924161,2.81286058,3.197934077,2.920408952,3.018269174,2.866693455,2.87158251,3.382004439,2.959948022,2.845010439,2.918316942,2.794197552,3.045264691,3.029836389,2.912739978,2.926523875,2.966219129,3.110034841,3.027749441,3.250853573,2.948087933,3.088645154,3.089819675,3.178246156,3.025362821,2.619841975,2.987701164,2.797438927,2.907712777,3.219535987,3.007355654,2.936310421,2.994810222,3.004679771,2.953901799,2.919179661,3.025867818,3.048260498,3.027993185,2.960699014,3.040148678,3.007044611,3.074046188,2.882025421,3.147143624,2.874300778,3.061522198,3.014034644,3.091979555,2.920274032,2.971197922,2.843031323,3.071034782,3.046346682,3.20011611,2.901164627,3.01512457,2.914653689,3.013277708,3.095299202,2.931147867,3.052171514,2.933777176,3.06493386,2.829124441,2.85709969,2.999064215,3.102170374,2.984821109,2.992524833,3.064806056,2.891732354,3.023945035,3.013264528,3.035017073,2.936613166,3.004877413,3.055964302,2.936617278,3.025427095,2.913303603,2.987871062,3.006341088,3.036023032,3.068843328,3.017149177,2.982383858,2.927614692,2.956221669,3.003057284,3.014860996,3.018468904,3.055812881,3.049638878,2.940480297,2.950998496,3.002315873,3.025529927,2.931620998,2.99584095,2.950830894,2.924395294,3.018476821,3.01422305,2.993152409,2.95547091,2.979351429,3.002154392,3.034316892,3.003264151,2.94020966,3.007830225,2.948808899,3.011726859,2.968959277,2.982236146,2.975613474,3.004602846,3.01063054,3.013150014,2.983795675,2.973326415,2.963882138,2.973797635,2.993778317,2.959135963,3.006434672,2.996458345,2.97704775,3.055435777,2.972717741,2.953164598,2.975562737,2.968303862,3.006819023,2.939892671,3.021209689,3.044642699,2.979663001,2.992013906,2.976013766,2.994397833,2.969075203,3.002686699,2.95746102,2.987470432,2.984422542,3.02006585,3.021484701,2.980492347,2.986253507,2.987160102,3.021249311,2.962981351,2.956882868,3.015821324,2.988597597,3.012433628,3.007118804,3.024237532,2.973927988,2.963871086,3.002962815,3.009976087,2.983901278,2.989470285,2.968837568,2.989470566,2.992900692,3.03261553,3.038104632,2.987183771,2.963499121,2.968845167,2.964056763
"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",1.916933774,2.484964588,2.468346557,2.726175451,3.277975688,2.643936283,2.952662576,2.534886116,2.9870939,3.091094673,3.121198526,3.024933791,2.890574714,2.980689344,2.762861748,3.138310413,2.9732203,2.777646994,3.281554585,2.990036296,3.021810043,2.98531837,3.226723234,3.019637148,3.191965043,3.12763029,2.939862641,2.71910741,2.901735497,3.019367244,2.976146068,2.984326005,2.764600176,2.958665919,2.973068306,2.894432718,2.85542436,3.00254702,3.00939911,3.025379833,2.954968237,2.914186196,2.986345362,2.932127677,3.03813858,3.021103859,2.983507339,2.993270984,2.933573676,2.948530587,3.016618078,3.112728419,2.91421746,3.052173776,3.037548399,2.950296386,3.037016043,3.022018883,2.987079447,3.022261178,2.947855427,2.962562768,2.994052127,3.033990356,2.96687718,3.019353529,3.02780042,3.010311448,2.936863566,2.931351149,2.994643184,2.996854775,2.938896312,2.975047075,3.076968541,2.943139757,2.900565823,3.002604128,2.996457026,3.021201866,2.976635003,2.929129581,2.998362249,3.048392104,2.986289127,2.970151396,2.910918845,2.995734917,2.980188339,3.018545356,2.982601627,2.891136716,3.088770879,3.018195126,2.98745134,3.049166479,3.029295081,2.995283626,3.005059316,3.036706546,3.017729308,2.95751004,3.021471342,2.969480355,2.945388897,3.041358632,3.076126763,2.939046226,2.984714329,3.044191244,2.957290389,2.969814805,3.003632852,2.964932343,2.991369103,2.974807514,2.986692431,2.957178718,3.007989528,3.011555118,2.97169938,3.00224202,3.001383483,2.980156506,2.939436085,2.969455965,2.987233925,2.994730669,3.043211669,3.046359571,2.995550139,3.015237545,3.051329561,2.953651785,3.001845913,2.968728234,3.001719717,2.98526347,2.953888412,2.973828665,2.996352722,2.999143622,3.011560024,3.004576679,3.010201694,2.980385806,3.000546531,2.973903493,2.997260658,3.021973425,3.007945712,2.979110218,3.006345374,2.991989096,2.974427502,3.010265112,2.962276037,2.98250525,2.990694169,3.013978894,2.985219247,3.011104536,3.004058175,2.989683545,2.947420475,3.015960058,2.97275456,2.966826202,2.96930558,3.01644637,3.003425602,2.969659704,2.973946771,3.011343799,2.973915901,2.984710241,3.000761893,2.990140059,2.98106392,3.007725131,2.983941232,2.994305117,2.990363636,2.962410981,2.981929311,2.981917733,3.008532562,2.961101282,3.003598772,2.977986016,2.965392276,2.989132896,2.959705767,2.991093883,2.98756758,3.014905218,2.983984586,2.953663562,3.030959589,2.974874479
"InChI=1S/C14H19NO2/c1-4-12-7-5-6-10(2)14(12)15-11(3)8-17-9-13(15)16/h5-7,11H,4,8-9H2,1-3H3",2.167703232,2.696220549,3.530692695,3.370323355,2.819576049,1.832512147,3.073054528,3.41880868,3.267393239,2.748957021,2.848651422,2.867338845,2.417582672,2.948309098,2.950837766,3.1436128,2.916898516,3.472804102,3.25802329,3.082945629,2.777358214,3.106846758,3.013804597,3.029625003,3.228811466,2.687375825,2.860302223,2.829930906,3.032915696,2.360285527,2.880354776,3.102061303,3.43190852,3.528280777,2.843956787,2.419201384,3.372853594,2.760164698,2.962176619,3.017229253,2.759782342,3.026367674,3.000140912,3.181259826,3.209021099,2.887812012,3.183949214,3.012923027,3.070176755,3.074512081,2.9956101,3.059882012,2.904438815,2.954061963,2.820929061,3.076709759,3.133585245,2.790284655,2.992391628,3.10572869,2.99220905,2.978831783,2.968130039,2.931075145,2.926885201,3.018456418,3.091751216,2.965109578,2.9995254,2.993123773,2.909835372,2.95637197,3.032937496,3.056337143,2.968062538,2.961062516,2.909299808,2.725702024,2.882164115,2.988573781,3.082401149,2.980396138,2.963812768,3.027868399,3.011790562,2.844597403,2.974778202,2.857838211,3.115296884,3.104519949,2.981256694,3.009080326,2.905506919,3.062374166,3.042693181,2.974794966,3.071260574,3.018407602,3.032900181,2.97957638,2.997481783,3.039344012,2.883946093,2.940392726,2.977496056,3.083104825,2.917223604,2.912205614,2.90741799,3.102768784,2.95388277,3.003117509,3.016637595,2.95022286,3.014577053,2.972703881,2.888143263,2.924470787,3.05077126,2.9398925,2.988304919,3.059048273,2.896410338,2.923252766,3.010220816,2.950786342,2.986613134,3.010696091,3.002011196,2.911274054,2.990999911,2.970930817,2.960435931,3.017344081,3.042501557,3.028759551,3.001127667,2.924593785,3.047462913,2.967009748,2.964269152,3.023339374,2.987226551,3.032733243,2.985665391,3.051035819,2.985364416,2.918637005,2.913860083,2.975388353,2.942440928,2.938453455,2.948366159,2.932795216,3.000465926,2.990178918,3.000969688,3.021364579,2.93780453,3.018476932,2.990221051,2.958619864,2.987357517,3.013061211,2.971341395,2.987560944,2.97239318,2.990233277,2.977566519,2.975500277,2.992066664,3.029891224,2.982820856,3.004311343,3.018010142,2.981100515,2.993903352,2.997433561,2.983869067,3.022360783,2.998020407,2.968910045,2.939425569,3.015331973,2.978982544,3.01247612,2.984352127,2.996974909,2.982886327,3.005231667,2.962484515,3.003708649,2.997732024,2.985768922,2.998130427,2.981966304,2.939355825,3.001368773,2.994306998,2.994294481
"InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-7-5-6-8-11(10)13/h5-8H,3-4,9H2,1-2H3",1.730250004,2.874394189,2.807394644,3.05622248,2.983763725,2.307013307,2.886871369,2.792725945,3.103943516,3.112029369,2.952796931,3.088109943,2.751431966,3.008284798,2.795595713,2.939155957,2.918759471,2.913996432,3.304123785,2.732816879,2.913374465,2.668774579,3.275305981,2.953181,3.110271126,2.811758924,3.085776029,2.983256493,2.933177439,3.112362536,3.148819729,3.166560948,2.798660671,3.246948163,3.264075749,3.399279817,2.933509659,2.794830595,3.198180748,2.92370003,2.98533932,3.136988669,2.991991012,3.101593232,3.118211678,3.128091992,3.19975249,2.845953469,3.037791092,3.041980662,2.966774845,2.800802727,3.073757088,3.10985767,3.163837193,2.906275875,3.088449786,2.948124032,3.024650036,3.026084851,2.95024593,2.91585286,2.949599657,2.950497216,2.961211793,2.931401972,2.849331288,3.018015481,3.043260993,2.912709127,2.96384633,3.053507332,3.078085472,3.030954286,3.187063837,3.084037378,2.984291785,3.063539936,3.113834167,3.058332003,2.966862092,3.085923262,3.051168092,2.979250367,2.992162388,2.972172201,3.073654373,2.986824571,3.002571653,2.940521009,2.975687824,2.918345394,3.023871448,3.006959619,2.968045616,2.965298157,2.942296343,3.006944698,3.002670777,3.013705772,3.055680514,3.015353491,3.060273066,2.990234856,3.056528039,3.003955926,3.045779514,3.103952311,3.015429612,2.997383475,3.056136827,3.025548687,3.035070059,2.951125865,2.982812552,2.954713498,3.026339898,3.018885015,2.991102808,2.950778787,2.968946745,2.91130932,3.017854474,3.00610745,2.943561713,3.025642986,3.004125335,3.03114775,2.982813005,2.998379547,2.996570126,2.960846662,3.009707175,2.933568579,2.962990928,3.002941221,2.981451134,3.017513181,2.914765129,3.019305084,3.008723889,2.991757449,3.051234042,3.040157771,3.015089079,3.00144893,2.967534876,3.051580815,2.973322018,2.99160125,2.969311118,2.98300822,3.005667959,2.947416527,2.991475685,2.973378892,2.995168514,2.997351402,2.99454846,2.934556209,3.026137318,3.012278255,2.974164073,2.958316611,3.004443229,3.022420993,3.019909748,3.009838735,2.990672484,2.969953629,3.007495001,2.964969027,3.0222125,3.030395058,2.993520333,2.988689205,3.022605043,3.03895289,2.955395577,3.031519104,2.959935527,2.946883736,2.976740811,2.980374959,2.988429394,2.978764891,2.961870748,3.015304102,2.992589376,2.968506197,2.943039422,3.016263649,3.008550992,3.025563896,3.021975366,2.947637188,3.009043348,2.985756841,3.012107393,2.99104028
"InChI=1S/C14H21NOS/c1-3-10-15(11-4-2)14(16)17-12-13-8-6-5-7-9-13/h5-9H,3-4,10-12H2,1-2H3",1.715042693,3.004475465,2.862961388,3.059513798,2.909834297,2.271360485,2.897167996,2.817450311,3.13101035,3.102677118,2.944174157,3.080346926,2.738078787,3.173816697,2.704204758,2.897661305,2.928686303,2.997156872,3.426336536,2.728069905,2.898033073,2.620658913,3.196625885,3.013227535,3.166234107,2.733485511,3.13334835,3.082985438,2.897676526,3.192316431,3.190371988,3.195760159,2.911789258,3.198139961,3.317959553,3.410946873,2.926231235,2.815447669,3.183235327,3.070891149,2.968967995,3.172960898,3.051857191,3.136158891,3.063070941,3.126897067,3.131740423,2.870221967,3.142485841,3.081428522,2.97750575,2.699906703,3.084316917,3.128893614,3.096597176,2.875269669,3.027813923,2.961114589,2.964795296,2.955751815,2.961289456,2.906089279,2.950074319,2.982151789,2.964552627,2.858657549,3.000365326,2.982972037,3.059577312,2.969433165,2.993616271,2.945029332,2.929474892,3.042007984,2.997637549,3.048125099,3.0206785,3.22915833,3.024998405,3.034559594,3.061181192,2.865755899,2.999830647,2.971663232,2.992455345,2.971034611,3.053707481,2.879806764,2.927009313,2.995577063,2.942467557,2.920813249,2.944839952,3.058154405,2.906238309,2.904197697,3.006202182,2.961146091,3.005664769,3.131735012,3.089846043,3.075180452,3.066276772,3.032826367,3.047881807,2.965164517,2.985352458,3.052995331,3.010811715,3.012190174,2.979810276,3.073818646,2.953931027,2.981365629,2.981175244,2.931790911,3.020035133,2.972727577,2.935882017,2.939485586,3.016867931,2.961823728,2.99047968,3.06058335,2.962700618,2.973283937,2.870510902,3.003358985,2.999211129,3.057972638,2.976987492,2.903541992,2.998892222,2.857958311,3.038042787,3.111567121,2.957729242,3.100415271,2.954479387,3.019771536,2.942505434,2.927989182,3.020694419,3.041994863,2.996205073,2.930789895,2.975093299,3.093214284,2.960682376,3.002199482,3.041339507,2.944854359,3.056263421,3.039785616,2.948624235,3.038333285,2.939234313,3.06749975,2.938061474,2.898873228,2.998935346,2.906254603,3.063563001,2.921196251,3.075510545,3.004270091,2.90309676,3.004544519,3.015575748,2.97308967,3.020318058,3.137320448,2.971952167,3.073202803,2.967053051,3.011114296,2.927977258,2.958811007,2.969822557,2.896141398,2.995142568,2.957044523,3.002811651,2.955153793,2.994802733,2.943207375,3.00430721,2.951826465,2.97550057,2.956420676,2.962780135,3.002413709,3.01899726,3.004001146,2.979252535,2.949349009,2.991961114,2.976781502,2.982577968,3.009576957
InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,1.685570865,2.436467229,2.362569724,2.649659622,3.533320333,2.811217761,2.838750693,2.723231771,3.236189014,3.205805945,2.689537432,2.809588699,3.277069871,2.974581508,2.950960054,3.023958424,3.242651761,3.011639901,3.127956549,2.830495391,3.009171378,2.999774213,3.101414864,3.108462167,3.069025575,3.085418062,2.936754824,2.998497844,3.070463379,3.043413793,3.03544161,3.018881901,2.916512627,2.99590425,2.930944167,2.911967553,2.932975639,3.056596381,3.001806684,3.041150465,2.944571762,2.97522042,2.966921202,2.962334017,3.036822797,3.00520891,3.036679748,2.977087557,2.984641651,2.967246752,2.97891112,3.080128223,2.888440579,3.007534807,2.993509788,2.956031496,2.982392348,2.999605571,2.994754901,2.993875658,2.932886481,2.972156722,2.98661632,2.972113342,2.945912744,3.001389783,3.033763725,3.011523354,2.893279515,2.8825313,2.990003566,3.041009813,2.936738527,3.014913683,3.061830779,2.90821895,2.898186016,3.003455892,3.002416798,2.932909907,2.971482653,2.98872684,2.996708661,3.038441201,3.012401324,2.990668032,2.958521429,2.9623635,2.982310333,2.992264033,2.981630372,2.921785495,3.012910204,2.942862912,3.028431422,3.006531945,3.029768408,2.994301254,2.977883747,2.957326981,3.015151626,2.985682754,3.064301128,2.984084185,2.979077845,3.022218748,3.002469759,3.01895934,2.988376296,3.027506179,2.995607391,2.980749903,2.977145105,3.003558247,2.988006404,2.923937391,3.001420707,2.984175082,2.97578561,3.001422632,3.042183182,2.994828444,2.976904059,2.980807035,2.98882849,3.004924935,3.025810534,2.983186395,2.997068658,3.021844731,2.990718934,2.989038518,3.044135308,2.993444371,2.998423516,2.980780627,2.984925883,2.974765926,2.960677726,2.999431354,2.999196456,3.026810324,3.001226813,2.979711498,3.02274638,3.00364204,2.986986322,3.02078209,2.989749836,2.982252897,3.02876267,2.989501205,2.974572212,2.984910494,2.994724255,2.982152001,2.973049388,2.985471489,2.987093481,3.005769486,3.005490993,3.021963855,3.015659211,3.011128454,2.953772601,3.001296049,2.972928239,2.988273604,2.989945477,3.003120533,2.995279114,3.002815141,3.000180039,2.980543604,2.985190484,2.978489129,2.991271031,2.978191146,2.968787378,2.980972685,2.961900595,2.98597827,2.996185599,2.975049604,2.980042572,3.001027236,3.006289033,2.973355027,2.96812349,2.997716964,2.986439735,2.964873649,2.959398036,3.002602611,2.975448796,2.995511316,2.983562277,2.990668902,3.014309696,2.99038306
"InChI=1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)",1.806771486,2.375904155,2.335191847,2.742169031,3.459889395,2.842042619,3.131839894,2.770448197,3.307548714,3.329005028,2.585355443,2.985231993,3.267571059,2.972531466,2.910945262,2.785928406,3.359086638,3.030300915,3.095714401,2.996021491,3.041223661,2.908720759,3.02544394,3.004805872,2.904214552,3.093171682,2.8826583,3.00347796,2.987620122,3.065891144,2.969381645,2.969098283,2.884675216,2.953507484,3.04351353,2.874204189,2.943394343,3.02122319,2.997423734,3.07508986,3.02142245,2.961541708,3.034102783,2.897245071,3.034590439,2.925672339,3.012762897,3.026608679,2.994402466,2.902952967,2.997422575,3.182640814,2.895598977,2.973137178,2.975781718,2.870169492,3.02659234,3.106538125,2.98053951,3.032308678,2.793979392,2.986147513,2.906549882,2.948892882,3.01729261,3.008712028,2.921128647,2.944084404,3.085400374,2.889407716,2.98317119,3.033566128,3.070518849,2.950454015,3.039082349,2.974222703,2.966289334,3.04310104,2.992280248,2.926392253,2.925353891,3.002686472,2.950852209,3.01328292,2.993592229,2.925067582,3.01870561,2.907257912,2.994757345,3.032237959,2.983285356,2.916690688,3.021178974,3.004662004,3.012528152,3.026215851,3.039268717,2.955949504,2.957797775,2.89931451,3.034708606,3.016741813,3.018696746,3.044724408,2.988787235,3.015542142,2.959070703,3.010186353,2.996180018,3.021185737,2.994699302,2.968207459,2.988318473,3.020415549,3.003599115,2.918310408,3.000292815,2.997331515,2.975143594,2.987214724,3.061957371,3.020639259,2.992151286,3.013314068,2.935845012,3.02090008,3.016479637,2.993505614,3.0643424,3.009409778,3.013461835,3.024548657,3.005783135,2.99314884,2.976824395,3.009506322,2.942035541,2.942622362,2.993527774,3.009692616,2.955029347,3.057867956,2.978582756,2.976814602,2.981489781,2.983082598,2.999350723,3.011076657,2.98910494,2.981271566,3.039158233,2.973962747,2.963617812,2.986665354,2.989552167,3.016223943,2.954929843,2.997321615,2.979546162,2.978734468,2.972639381,3.048690686,3.02249011,3.005826711,2.933881688,2.971106419,2.952261871,2.998168862,2.991760442,2.981232511,2.96566728,3.017881931,2.981377942,2.958015625,2.985620971,3.004169766,2.971142349,2.982265953,2.960152106,2.974312146,2.974428256,2.993551388,2.990084288,3.013820485,2.973586187,2.993587152,2.991643007,3.006403728,2.979523988,3.003479587,3.032545335,2.932610737,2.980788085,2.993040429,2.976840274,2.967461185,3.009024935,2.97655578,2.983049299,2.97614072
"InChI=1S/C15H18ClN3O/c1-11(12-2-3-12)15(20,8-19-10-17-9-18-19)13-4-6-14(16)7-5-13/h4-7,9-12,20H,2-3,8H2,1H3",2.336343192,2.22721426,3.698231645,2.924114077,3.020825008,3.057048913,2.86431984,2.709237828,3.172695739,2.994417681,2.945484576,3.277395105,2.618013991,3.36489791,2.666156242,2.755656321,3.172752647,2.626987323,2.890711252,2.886447494,2.808866171,2.995322599,3.180500031,2.806102387,3.344566079,3.21376974,2.711214232,3.408991443,3.069542538,2.796592809,2.695347671,2.666315937,3.071119004,3.021482981,3.280513061,2.749530369,2.990732378,3.23537539,2.847823011,3.018148118,3.153854676,2.949299933,3.044426776,3.109972487,2.871188785,2.875815893,3.078970145,3.074288919,3.15063406,2.981617788,2.941913939,3.325733556,2.993137167,2.826746305,3.065547476,3.13935945,2.659198428,3.263364143,3.150687061,3.06756262,2.932383209,3.021345203,2.801097359,3.034972129,2.92836611,2.981257389,3.019533839,2.9575134,3.145884428,3.052559306,2.919893816,2.978517711,3.134388392,3.057968195,2.995610349,3.052257766,3.051563112,2.893979053,2.907508118,3.05046957,3.032926032,2.948439691,2.950469999,2.932199505,2.922767781,3.088760607,3.043433098,2.990690193,3.046558444,3.041899349,2.982422414,2.993791748,3.016829165,2.974552626,2.925463777,3.017650822,3.016907345,3.007507067,3.037880473,3.004399958,3.079705952,3.04806713,2.926416576,2.979972769,3.045301846,2.928111391,3.028124589,3.075364011,3.027406624,3.003029747,3.104977052,2.939285238,2.922170114,2.993844714,2.944912853,3.033076433,3.041175412,2.997132842,2.972137839,2.985093525,2.890492648,2.985936972,2.95500776,3.022016182,2.998595214,2.988890424,3.039609386,2.964594312,2.958375036,3.054320765,2.97400532,3.040921968,2.937933065,3.055735485,2.907894043,2.970010005,2.974480432,3.018355209,2.999912695,2.956797657,3.021531102,3.011837626,3.011178373,3.037566252,2.983844781,3.016996012,2.97976454,2.998178185,3.055651212,2.95677607,3.055101555,2.989316966,3.007632982,2.97963006,3.003412065,3.006652071,3.025657508,2.989771197,2.995051566,3.023097359,3.005344807,2.987369868,3.005557713,2.950507453,2.960090071,3.006020617,3.012751335,2.99820049,3.006167929,2.995605997,2.972903827,2.971102556,3.000869083,2.998489416,2.964287814,2.989247006,3.007675325,2.991541922,2.939028697,2.989113567,3.025841992,2.994567694,3.001149312,3.010832206,2.964321419,2.938008736,2.998110794,2.95489295,2.976721755,2.969958847,2.993249952,2.988101422,2.991910059,2.98457367,2.972044147,2.986453303,2.991203498,2.973923761,2.949979933,3.020272067
"InChI=1S/C7H3I2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",2.086549562,2.65238989,2.610817001,2.743593814,3.029595209,2.683521898,3.041726154,2.303488288,2.732506889,2.925739324,3.247943139,3.037954647,2.976743859,2.787352812,2.743131197,3.177686807,3.543602332,2.864449479,3.155995096,2.819087289,3.122633235,3.123324315,3.162725102,3.264396546,2.989298369,3.004093781,2.996591046,2.772383305,2.985957933,3.097886818,2.933306719,3.028756761,2.632025443,2.979363999,2.788985142,2.922452334,2.834388273,3.023850982,3.032481174,3.003652554,2.877797845,2.889392594,3.029661588,2.917757882,3.05123228,3.098726401,2.967761949,2.964300028,2.935223693,2.939282673,3.035116835,3.091981246,2.86722204,3.060938944,3.046763687,2.949007155,3.031956379,3.005049184,2.973973936,3.030755205,2.942911939,2.966551561,3.006218342,3.034046883,2.966791518,2.99824608,3.027172633,3.013573144,2.93512757,2.961253468,2.98747773,3.001169785,2.951635796,2.932763213,3.059628485,2.964357688,2.891025274,3.007826938,3.010696282,3.023489192,2.997382767,2.919799904,2.984257724,3.027897641,2.951869147,2.944679145,2.917200472,3.00668829,2.981920105,3.043463673,2.980749379,2.880814693,3.123015427,3.040831609,2.976443426,3.035724118,3.033789118,2.99051861,2.999969191,3.027176898,2.997606127,2.950699044,3.022807286,2.966470741,2.930392961,3.060406475,3.057915509,2.91093018,2.982754689,3.048789383,2.977986099,2.987649236,3.0174143,2.967315737,2.984531122,2.976230242,2.990941389,2.951871558,2.994004833,3.013247936,2.975937136,2.986634817,3.00385441,2.984244677,2.951694907,2.970747307,2.998906072,3.007264365,3.03871079,3.049521953,2.994700695,3.003018746,3.041139311,2.941962947,3.00122069,2.976236167,3.007786583,2.98873329,2.959965604,2.977697992,2.981772603,2.980757634,3.011287173,3.000798752,3.016478304,2.993528733,3.002726054,2.975858855,2.998861428,3.024025242,3.016521407,2.975799126,2.997348655,2.989231403,2.97826014,3.00873318,2.959211439,2.964996531,2.984477344,3.009723822,2.97755147,3.006541792,2.99890271,2.982607472,2.9433021,3.012460995,2.973220628,2.969697425,2.965195928,3.021337671,2.997860859,2.973184892,2.980907402,3.002809103,2.979250325,2.985049228,2.998764761,2.986698547,2.981952493,3.008403208,2.979874572,2.992416388,2.995217115,2.96200249,2.987061475,2.984715708,3.006857455,2.961482069,3.008617924,2.980327655,2.971127466,2.997781622,2.961179276,2.985720286,2.989484086,3.016782227,2.984236568,2.958145325,3.02954908,2.9755228
"InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2",1.979528409,2.17992069,3.423930197,3.292058783,3.110193452,2.410948068,3.018442015,2.84719449,2.781216166,2.617911893,2.812520382,3.155959816,2.678396049,3.24224478,3.568694209,2.999396912,2.704879106,3.183092463,3.067519745,2.997095674,2.673653262,3.515160693,2.832232488,2.8247393,3.187006149,3.033261329,2.552280899,2.920924793,2.882919696,3.211401622,2.959870779,3.034570313,2.996902238,2.812622866,2.821058954,2.809198693,2.952202655,2.993186444,3.079768794,3.011624727,2.862229736,3.140158602,2.968716224,3.004512125,3.269309488,2.822470607,3.113500994,2.967981334,2.865534126,2.942847018,2.760005893,2.944089098,3.140623831,2.995151292,2.843554771,3.042664925,2.943209206,2.977365351,2.923825852,3.007117793,3.023976478,3.034213391,2.988346264,2.935534449,2.955068456,2.885851887,3.020582144,2.910696459,2.94265047,3.134767199,2.966030633,3.045613952,3.065534075,2.908874908,3.01724654,2.936400499,2.925340002,3.011318223,3.081017158,3.002151667,2.970805023,2.922612868,2.996236929,3.00371582,2.96654903,2.899415572,3.008864402,2.919694582,2.997385498,2.99234498,3.064113245,3.012827663,3.021430231,2.970467414,2.961737838,2.978737171,2.978393135,3.004635622,2.977407137,2.956522892,2.909286292,2.999904973,2.936150779,2.937451118,3.006955139,2.971453086,3.012825656,2.950853973,3.001665072,2.949909263,3.00132557,3.031477068,3.005633469,2.890664352,2.994535155,3.038817,2.99829626,3.03723492,2.995934775,2.94157265,2.987036975,3.00082729,3.03784337,3.037373076,2.928250901,3.051384605,3.005636124,2.982734119,2.981627073,2.97224137,2.951492733,2.921172651,2.966655546,2.995220888,2.967003446,3.008208835,2.986317744,2.970261177,2.974317539,2.945606094,2.967072625,3.019778103,2.97036767,2.970282763,2.970447702,3.012920698,3.01813699,3.018686317,2.950854181,3.00148444,2.985825082,2.994898099,2.99324901,3.005950775,2.975404612,2.95468348,2.994124824,3.006449438,2.953747523,3.004167032,3.013292279,2.98470744,2.994236442,3.024920308,2.968991979,2.978092038,2.981071793,3.022275117,3.019347022,2.993497203,2.999718147,2.983781006,2.944423236,2.993585507,2.958579316,2.964750368,2.984268212,2.991835865,3.006259741,2.967856073,3.005130661,2.982728937,2.973507808,2.986865335,3.030831562,2.970433494,2.988514357,2.976075588,3.016167308,3.01536191,2.982740536,2.988707408,2.994010625,3.00150227,2.985499417,2.989316471,2.994195731,2.965522214,2.994083413,3.000714684
