inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
"InChI=1S/C10H9N3O/c1-7-11-10(14)9(13-12-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,11,12,14)",1.985093594,2.026350937,3.158962951,3.12158209,3.470598997,3.121961537,2.704395368,2.815581759,3.140787033,2.962043124,2.617328942,2.911668717,3.385057657,3.23925706,2.767420606,2.981339373,3.14390719,3.328037918,2.721730658,2.915612629,2.823789904,3.098528761,3.066916554,2.833833886,3.210724375,2.933924161,2.81286058,3.197934077,2.920408952,3.018269174,2.866693455,2.87158251,3.382004439,2.959948022,2.845010439,2.918316942,2.794197552,3.045264691,3.029836389,2.912739978,2.926523875,2.966219129,3.110034841,3.027749441,3.250853573,2.948087933,3.088645154,3.089819675,3.178246156,3.025362821
"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",1.916933774,2.484964588,2.468346557,2.726175451,3.277975688,2.643936283,2.952662576,2.534886116,2.9870939,3.091094673,3.121198526,3.024933791,2.890574714,2.980689344,2.762861748,3.138310413,2.9732203,2.777646994,3.281554585,2.990036296,3.021810043,2.98531837,3.226723234,3.019637148,3.191965043,3.12763029,2.939862641,2.71910741,2.901735497,3.019367244,2.976146068,2.984326005,2.764600176,2.958665919,2.973068306,2.894432718,2.85542436,3.00254702,3.00939911,3.025379833,2.954968237,2.914186196,2.986345362,2.932127677,3.03813858,3.021103859,2.983507339,2.993270984,2.933573676,2.948530587
"InChI=1S/C14H19NO2/c1-4-12-7-5-6-10(2)14(12)15-11(3)8-17-9-13(15)16/h5-7,11H,4,8-9H2,1-3H3",2.167703232,2.696220549,3.530692695,3.370323355,2.819576049,1.832512147,3.073054528,3.41880868,3.267393239,2.748957021,2.848651422,2.867338845,2.417582672,2.948309098,2.950837766,3.1436128,2.916898516,3.472804102,3.25802329,3.082945629,2.777358214,3.106846758,3.013804597,3.029625003,3.228811466,2.687375825,2.860302223,2.829930906,3.032915696,2.360285527,2.880354776,3.102061303,3.43190852,3.528280777,2.843956787,2.419201384,3.372853594,2.760164698,2.962176619,3.017229253,2.759782342,3.026367674,3.000140912,3.181259826,3.209021099,2.887812012,3.183949214,3.012923027,3.070176755,3.074512081
"InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-7-5-6-8-11(10)13/h5-8H,3-4,9H2,1-2H3",1.730250004,2.874394189,2.807394644,3.05622248,2.983763725,2.307013307,2.886871369,2.792725945,3.103943516,3.112029369,2.952796931,3.088109943,2.751431966,3.008284798,2.795595713,2.939155957,2.918759471,2.913996432,3.304123785,2.732816879,2.913374465,2.668774579,3.275305981,2.953181,3.110271126,2.811758924,3.085776029,2.983256493,2.933177439,3.112362536,3.148819729,3.166560948,2.798660671,3.246948163,3.264075749,3.399279817,2.933509659,2.794830595,3.198180748,2.92370003,2.98533932,3.136988669,2.991991012,3.101593232,3.118211678,3.128091992,3.19975249,2.845953469,3.037791092,3.041980662
"InChI=1S/C14H21NOS/c1-3-10-15(11-4-2)14(16)17-12-13-8-6-5-7-9-13/h5-9H,3-4,10-12H2,1-2H3",1.715042693,3.004475465,2.862961388,3.059513798,2.909834297,2.271360485,2.897167996,2.817450311,3.13101035,3.102677118,2.944174157,3.080346926,2.738078787,3.173816697,2.704204758,2.897661305,2.928686303,2.997156872,3.426336536,2.728069905,2.898033073,2.620658913,3.196625885,3.013227535,3.166234107,2.733485511,3.13334835,3.082985438,2.897676526,3.192316431,3.190371988,3.195760159,2.911789258,3.198139961,3.317959553,3.410946873,2.926231235,2.815447669,3.183235327,3.070891149,2.968967995,3.172960898,3.051857191,3.136158891,3.063070941,3.126897067,3.131740423,2.870221967,3.142485841,3.081428522
InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,1.685570865,2.436467229,2.362569724,2.649659622,3.533320333,2.811217761,2.838750693,2.723231771,3.236189014,3.205805945,2.689537432,2.809588699,3.277069871,2.974581508,2.950960054,3.023958424,3.242651761,3.011639901,3.127956549,2.830495391,3.009171378,2.999774213,3.101414864,3.108462167,3.069025575,3.085418062,2.936754824,2.998497844,3.070463379,3.043413793,3.03544161,3.018881901,2.916512627,2.99590425,2.930944167,2.911967553,2.932975639,3.056596381,3.001806684,3.041150465,2.944571762,2.97522042,2.966921202,2.962334017,3.036822797,3.00520891,3.036679748,2.977087557,2.984641651,2.967246752
"InChI=1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)",1.806771486,2.375904155,2.335191847,2.742169031,3.459889395,2.842042619,3.131839894,2.770448197,3.307548714,3.329005028,2.585355443,2.985231993,3.267571059,2.972531466,2.910945262,2.785928406,3.359086638,3.030300915,3.095714401,2.996021491,3.041223661,2.908720759,3.02544394,3.004805872,2.904214552,3.093171682,2.8826583,3.00347796,2.987620122,3.065891144,2.969381645,2.969098283,2.884675216,2.953507484,3.04351353,2.874204189,2.943394343,3.02122319,2.997423734,3.07508986,3.02142245,2.961541708,3.034102783,2.897245071,3.034590439,2.925672339,3.012762897,3.026608679,2.994402466,2.902952967
"InChI=1S/C15H18ClN3O/c1-11(12-2-3-12)15(20,8-19-10-17-9-18-19)13-4-6-14(16)7-5-13/h4-7,9-12,20H,2-3,8H2,1H3",2.336343192,2.22721426,3.698231645,2.924114077,3.020825008,3.057048913,2.86431984,2.709237828,3.172695739,2.994417681,2.945484576,3.277395105,2.618013991,3.36489791,2.666156242,2.755656321,3.172752647,2.626987323,2.890711252,2.886447494,2.808866171,2.995322599,3.180500031,2.806102387,3.344566079,3.21376974,2.711214232,3.408991443,3.069542538,2.796592809,2.695347671,2.666315937,3.071119004,3.021482981,3.280513061,2.749530369,2.990732378,3.23537539,2.847823011,3.018148118,3.153854676,2.949299933,3.044426776,3.109972487,2.871188785,2.875815893,3.078970145,3.074288919,3.15063406,2.981617788
"InChI=1S/C7H3I2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",2.086549562,2.65238989,2.610817001,2.743593814,3.029595209,2.683521898,3.041726154,2.303488288,2.732506889,2.925739324,3.247943139,3.037954647,2.976743859,2.787352812,2.743131197,3.177686807,3.543602332,2.864449479,3.155995096,2.819087289,3.122633235,3.123324315,3.162725102,3.264396546,2.989298369,3.004093781,2.996591046,2.772383305,2.985957933,3.097886818,2.933306719,3.028756761,2.632025443,2.979363999,2.788985142,2.922452334,2.834388273,3.023850982,3.032481174,3.003652554,2.877797845,2.889392594,3.029661588,2.917757882,3.05123228,3.098726401,2.967761949,2.964300028,2.935223693,2.939282673
"InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2",1.979528409,2.17992069,3.423930197,3.292058783,3.110193452,2.410948068,3.018442015,2.84719449,2.781216166,2.617911893,2.812520382,3.155959816,2.678396049,3.24224478,3.568694209,2.999396912,2.704879106,3.183092463,3.067519745,2.997095674,2.673653262,3.515160693,2.832232488,2.8247393,3.187006149,3.033261329,2.552280899,2.920924793,2.882919696,3.211401622,2.959870779,3.034570313,2.996902238,2.812622866,2.821058954,2.809198693,2.952202655,2.993186444,3.079768794,3.011624727,2.862229736,3.140158602,2.968716224,3.004512125,3.269309488,2.822470607,3.113500994,2.967981334,2.865534126,2.942847018
