inchi,maccs_38,maccs_53,maccs_54,maccs_57,maccs_62,maccs_65,maccs_66,maccs_72,maccs_74,maccs_75,maccs_76,maccs_77,maccs_78,maccs_79,maccs_80,maccs_82,maccs_83,maccs_84,maccs_85,maccs_86,maccs_88,maccs_89,maccs_90,maccs_91,maccs_92,maccs_93,maccs_95,maccs_96,maccs_97,maccs_98,maccs_99,maccs_100,maccs_102,maccs_104,maccs_105,maccs_106,maccs_108,maccs_109,maccs_110,maccs_111,maccs_112,maccs_113,maccs_114,maccs_115,maccs_116,maccs_117,maccs_118,maccs_119,maccs_120,maccs_121,maccs_122,maccs_123,maccs_124,maccs_126,maccs_127,maccs_128,maccs_129,maccs_130,maccs_131,maccs_132,maccs_133,maccs_135,maccs_136,maccs_137,maccs_138,maccs_139,maccs_140,maccs_141,maccs_142,maccs_143,maccs_144,maccs_145,maccs_146,maccs_147,maccs_148,maccs_149,maccs_150,maccs_151,maccs_152,maccs_153,maccs_154,maccs_155,maccs_156,maccs_157,maccs_158,maccs_159,maccs_160,maccs_161,maccs_162,maccs_163,maccs_164,maccs_165,-1873263708,-1779602815,-1779215532,-1779215129,-1550059087,-1550059075,-1549671401,-1432935145,-1240549133,-1091992671,-801319945,-619386996,-618999310,-429140982,-428753699,-428753296,-87621824,67,79,65849,66252,77381,77877,63282351,63669634,63670037,74364603,74365006,74841259,74841271,284557139,284944422,684798629,746870567,1056977592,1057364875,1057365278,1119437216,1445324489,2037342038,2037342441,2143185518,-1550059076,-1273370073,-1218318069,-392719481,78,66345,76420,63292922,63293883,63759007,73441082,483089449,571657745,694957360,695880881,746870579,746881138,746882099,961487643,1142865045,1445324490,1445324491,1445324492,1672604023,1722408961,483077917,1633829133,-1873263707,-1873263706,-1873263705,-1848232061,-1240549132,-1240549131,-1240549130,381411731,-618999713,1119436813,-1550058684,747258253,855644566,1935676255,83,73441485,1857792214,-1853445985,-1663199971,-1421852893,-1091981139,-607336557,-481299309,357040669,392493983,494160169,972569895,1667390099,-2130472164,-2092637236,-2014938020,-1979496352,-1740642266,-1702807338,-1549571860,-1091992660,-45712170,76916,63769578,73917738,74365110,74841270,493236648,695434016,746870578,779886418,971646374,1153023776,1200117906,1215095714,1315652050,1429712790,1744263644,1857404528,2134093542,483077929,-1608147967,685275285,758031735,1029724161,1419554059,1722442103,381411743,483077928,-2064996522,-606609633,76823,63680608,73828365,73828768,1067524009,-1779591283,-1549671804,-1432547459,-1091992268,-429129450,-293967537,284568671,1056989124,2006395782,-2014550334,-1740641863,1047381387,-2064996119,-606609230,-1432458489,-1091992175,-1983017820,-1269319699,73828779,-2140699526,-790237693,-76539572,-1006701866,-964879417,-513573682,-507103631,-289109509,-281691030,369386629,790592664,1163511423,1413433893,1627608083,1892960349,-1027418143,-801752141,-1578006997,-1317393583,-894035143,91423805,519008602,1187172105,-1951192287,251809297,-2078239523,-1771811752,-160203532,140710659,706832882,1477987342,2101068825,1330536927,-1812822688,-1416132094,228771567,957663557,-868007456,1753355760,-1978583541,-636984940,1680197806,401570022,2130908821,-1391505150,229166175,423552486,598483088,1323701668,1172880295,171935693,1776828876,1978230478,1091760067,-1969325932,-919561681,67,79,2144,2516,66531,78063,78075,2062528,2420020,2420032,63938435,75020687,1315296035,1982091552,-1969325560,-1969314400,-919550149,-919204189,78,2485,66872,66903,77102,2073099,2074060,2420031,63949967,64295927,75020699,75021028,75021059,1315653527,1326378287,1658845847,1982449044,1993173804,-1969325920,-919561669,-1997955083,-1969325921,-1807065362,83,2390229,74097166,-1968968428,2420392,75032219,2640,-1997944512,-1969325591,-1969315361,-1968998231,-1968998220,-1968998219,-1807065351,-1806737661,-919561670,-919551110,-919233980,-919233969,-909402950,-909402609,78074,2390240,2420361,63949006,64266136,74097507,75020698,75031258,1315623736,1325454766,1630216696,1630227267,1982419253,1992250283,1992250624,81907,-1968968440,-908479417,-919561340,-1997954742,-1997627382,-1807054791,-1796906620,77113,2390570,64266477,74097177,74107737,1630217037,1630544397,1992260854,-919561309,-1796906631,-919204177,-908479429
"InChI=1S/C9H10O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,8,10-11H,5H2,(H,12,13)",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,0,0,1,0,0,3,4,0,0,2,0,1,4,0,0,0,0,0,2,0,1,1,0,3,0,4,0,0,6,1,4,6,1,2,2,6,2,1,2,1,1,1,2,2,2,2,2,6,2,9,4,3,6,3,1,2,2,6,3,2,1,1,2,2,1,1,2,2,6,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,1,1,2,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,4,9,4,10,6,1,11,5,2,12,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C4H8O3/c1-2-3(5)4(6)7/h3,5H,2H2,1H3,(H,6,7)",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,2,3,1,0,0,0,0,3,0,0,1,0,0,1,0,1,1,0,2,0,3,1,0,0,0,3,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,4,3,3,0,2,1,2,0,0,3,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,2,4,1,1,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C26H54NO6P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-22-31-24-26(28)25-33-34(29,30)32-23-21-27(2,3)4/h20,22,26,28H,5-19,21,23-25H2,1-4H3",0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,4,6,0,1,0,0,0,3,1,0,0,0,1,1,4,2,0,4,1,3,0,1,2,0,1,4,4,0,15,0,0,0,4,0,4,3,0,13,12,4,1,3,0,0,1,0,4,1,6,4,1,0,0,0,6,15,8,4,0,0,1,4,0,19,0,5,4,6,4,1,0,0,6,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,26,6,19,0,5,0,16,0,0,5,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,1,1,1,11,1,1,4,6,1,1,1,1,12,3,1,1,3,1,13,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,19,0,0,0,0,1,4,11,2,1,1,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,6,20,5,17,6,0,15,3,2,14,1,12,13,1,1,1,1,1,4,6,1,1,3,2,1,1,2,1,3,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C5H10O3/c1-3-5(2,8)4(6)7/h8H,3H2,1-2H3,(H,6,7)",0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,2,3,2,0,0,0,0,3,0,0,2,0,0,3,0,1,1,0,2,0,3,2,0,0,0,3,0,0,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,5,3,4,0,2,1,4,0,0,4,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,4,5,1,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C5H10O3/c1-3(2)4(6)5(7)8/h3-4,6H,1-2H3,(H,7,8)",0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,3,2,0,0,0,0,3,0,0,2,0,0,1,0,1,0,0,2,0,3,2,0,0,0,3,0,0,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,5,3,4,0,2,1,4,0,0,3,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,4,4,1,2,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C5H8O3/c1-3(4(2)6)5(7)8/h3H,1-2H3,(H,7,8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,3,2,0,0,0,0,3,0,0,2,0,0,1,0,2,0,0,1,0,3,2,0,0,0,3,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,5,3,4,0,1,2,4,0,0,1,0,3,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,3,4,4,1,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,3,2,0,0,0,0,3,0,0,2,0,0,1,0,2,1,0,1,0,3,2,0,0,0,3,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,0,0,0,6,3,5,0,1,2,5,0,0,1,0,3,1,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,3,5,3,5,4,1,4,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,3,2,0,0,0,0,3,0,0,2,0,0,1,0,2,1,0,1,0,3,2,0,0,0,3,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,6,3,5,0,1,2,5,0,0,1,0,3,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,5,3,5,4,1,3,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C5H8O3/c1-2-3-4(6)5(7)8/h2-3H2,1H3,(H,7,8)",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,3,1,0,0,0,0,3,1,0,1,0,0,1,0,2,2,0,1,0,3,1,0,0,0,3,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,5,3,4,0,1,2,3,0,0,1,0,3,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,2,0,0,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,4,3,3,4,1,2,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"InChI=1S/C21H34O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h13-14,16-19,22H,4-12H2,1-3H3",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,6,0,7,0,0,0,2,0,0,2,8,0,4,0,0,0,0,0,0,0,2,17,8,0,1,2,0,0,1,0,0,1,2,3,0,2,0,3,2,4,0,3,1,0,2,0,1,0,0,1,0,2,3,0,0,3,2,17,1,0,0,0,2,0,0,3,1,2,0,0,0,0,0,0,0,21,2,24,0,1,1,38,0,0,2,0,2,0,0,0,58,4,0,0,0,0,1,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,103,0,0,0,0,0,80,0,1,1,0,0,0,4,7,1,1,1,8,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,5,1,5,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,21,2,24,2,38,4,0,58,4,0,80,7,125,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
