inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100
"InChI=1S/C10H9N3O/c1-7-11-10(14)9(13-12-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,11,12,14)",0.390191361,2.566178209,4.02795192,3.136284654,2.91860535,2.826939507,2.726841858,3.229098225,3.159588493,2.875315292,3.017151444,3.012042693,3.477634661,3.092805043,3.184806022,2.938538843,3.163310953,3.084476131,3.210404327,3.152095863,3.063022523,3.114340375,3.093021021,3.127640803,2.696334664,3.306917597,3.0982487,3.312618863,2.774976347,3.241683577,3.256628144,3.463170022,3.138510755,2.973705591,3.219915521,2.949399394,3.2329274,3.321714485,3.172305141,3.307634069,3.197297277,3.070039187,3.303847634,3.107695629,3.169360579,3.144625197,3.112594621,3.248682888,3.159128743,3.171779354,3.242758656,3.100670001,3.146752192,3.272871661,3.000183433,3.192884931,3.491075605,3.131441761,2.918342292,3.120523903,3.084591573,3.384257091,3.209615291,2.925097845,3.099755227,3.138512036,3.174591192,3.034694143,3.142587895,3.305589194,3.116566927,3.120407698,3.096235957,3.186679032,3.121070521,3.212570389,3.242250514,3.058841667,3.291461338,3.042763137,3.109740694,3.038036525,3.034035418,3.101345501,3.154382073,3.196765532,3.207211465,3.129672619,3.241034602,3.092619686,3.224816036,3.20855173,3.291991882,2.986219594,3.176067529,3.127780546,3.043944063,3.185436614,3.118349591,3.120588913
"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",0.231849591,2.351510905,3.420426084,3.129317032,3.054681698,2.74482022,3.172081128,2.966568058,3.063495903,2.845738126,3.143729401,2.92093871,3.208147395,3.068047139,3.175661771,3.084814897,3.129339803,3.16444803,3.141715387,3.256701731,3.421818683,3.18405713,3.087720885,3.260197599,3.369083788,2.98477297,3.024816561,2.944379503,3.342393423,3.070870347,3.135650757,2.985416014,3.113740708,3.355931983,3.051454008,3.141446228,2.945482363,3.312394238,3.065134858,3.164833268,3.153694123,3.094963135,3.184978327,3.066758481,3.222418792,3.04338078,3.145705114,3.114116184,3.249401998,3.033581428,3.085806378,3.131406055,3.050443825,3.133850448,3.214263458,3.077399003,3.135602121,3.116913709,3.024879147,3.138986994,3.182363778,3.107416867,3.095142109,3.145638454,3.133026192,3.120252879,3.168672884,3.156139897,3.136731369,3.152438088,3.123110564,3.132935753,3.219805351,3.145243359,3.176881451,3.167925798,3.148948373,3.126651668,3.141269627,3.124989466,3.151836508,3.121513267,3.122182251,3.132651246,3.118806629,3.190261903,3.136765079,3.135126128,3.190731056,3.173957219,3.177500804,3.18472593,3.15129555,3.236327532,3.16622281,3.13944327,3.17703465,3.130828069,3.151498569,3.147973715
"InChI=1S/C14H19NO2/c1-4-12-7-5-6-10(2)14(12)15-11(3)8-17-9-13(15)16/h5-7,11H,4,8-9H2,1-3H3",0.604808387,2.713246846,3.642120882,3.326817835,3.14017241,2.93699648,2.939413342,2.954148537,2.8823448,3.078158653,3.013154713,2.88650562,3.039197883,2.856258594,3.314826401,2.92357314,3.339554207,3.162383132,3.141105769,3.156121999,2.986736205,2.992899015,2.907908145,3.176845526,3.305944322,3.182980822,3.209196495,2.883493128,3.359629794,3.216737449,3.554962732,3.32253724,3.187527933,3.071484554,3.409470028,2.777344931,2.967365662,3.262289887,3.173981654,3.225831596,3.136000483,3.198281879,3.163578453,3.096920205,3.285991119,3.206378776,3.274741685,3.085374703,3.197303092,2.994459647,3.305606954,3.141149205,3.20358721,3.084117615,2.854311,3.175917577,3.147273258,3.186298409,2.931391777,3.00836675,2.973785522,2.959230606,3.197769495,3.169165974,3.108321624,3.131907601,2.982968669,3.123955353,3.127587237,3.195859387,3.254169839,2.942204806,3.173163917,3.391407245,3.114740564,3.048560074,3.029250313,3.071234102,3.185557679,3.107127448,3.060082812,3.163670323,3.155274216,2.987105024,3.052271882,3.122898061,3.045141972,3.099746448,2.952875226,3.039259271,3.021827399,3.157911977,3.208551265,3.135568524,3.256501333,3.260342754,3.1134263,3.138579551,3.057494317,3.142110103
"InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-7-5-6-8-11(10)13/h5-8H,3-4,9H2,1-2H3",0.418826587,2.135914067,3.484223443,2.881777518,3.621323799,3.085146982,3.052832754,2.82449096,2.986214164,2.954480407,3.305330517,3.046742753,3.17202219,2.921457175,3.131881223,2.80944967,3.142126611,3.130202775,3.12375625,3.204272426,3.381188378,3.288613796,3.074817306,3.277442657,3.558572163,3.021450355,3.186196815,3.007936226,3.261119504,3.183456079,3.329798693,2.95356872,3.185541496,3.427445789,3.117927169,3.179437787,3.065642938,3.128395397,3.286412105,3.022290869,3.247144929,3.289787574,3.406880551,3.244478286,3.343620001,3.095233509,3.307459714,3.350846075,2.846608544,2.870189839,2.890859338,3.075396907,3.081386771,3.348342791,3.056680893,3.325674866,3.11259254,3.270474141,3.085852084,3.209298057,3.154396172,2.872612429,3.369002934,3.178732271,3.034559015,3.002475918,3.185770827,3.17299553,3.052969957,3.120540536,3.267184579,3.124435785,3.104562855,3.181827693,3.246604464,3.086798483,3.130747298,3.198152416,3.142392787,3.126481784,3.197550224,3.100965081,3.216825269,3.157030736,3.185838005,3.16148675,3.11889429,3.210849433,3.236589197,3.056985634,3.082451209,3.277890964,3.114199501,3.061748091,3.090106344,3.180932817,3.137725102,3.081184773,2.969922436,3.159928828
"InChI=1S/C14H21NOS/c1-3-10-15(11-4-2)14(16)17-12-13-8-6-5-7-9-13/h5-9H,3-4,10-12H2,1-2H3",0.496771622,2.130191,3.547668505,2.84086501,3.610518442,3.118874391,3.153276434,2.797990023,3.027823885,2.956550288,3.33455329,2.963652787,3.188973482,2.838109307,3.142230888,2.721678792,3.188179743,3.150322043,3.152377233,3.16123138,3.282538832,3.33764124,2.994865626,3.283779666,3.477525191,2.942014065,3.31031646,3.10806057,3.249276279,3.240582593,3.329785803,2.940854361,3.1860537,3.446209483,3.000682559,3.181811395,3.052155423,3.114364588,3.208715775,3.005915611,3.258574329,3.304988928,3.458715097,3.254390614,3.313819315,3.067540849,3.331451413,3.382069642,2.83127444,2.926163048,2.901414189,3.024587203,3.100087023,3.404161371,3.080389021,3.326457568,3.146855996,3.266878907,3.139526285,3.191150383,3.168024506,2.893172256,3.354961828,3.117745578,3.050032099,3.026893374,3.204470921,3.207306375,3.047178258,3.152904204,3.245364467,3.142226775,3.047536603,3.124142952,3.237929195,3.109532767,3.103464254,3.227111777,3.08988504,3.076587547,3.228158803,3.115920111,3.249295263,3.159437447,3.193173774,3.125438936,3.101195115,3.179270118,3.19988551,3.061245854,3.026082132,3.211086041,3.08794427,3.012409701,3.058000794,3.177894013,3.150897736,3.133976464,2.966235009,3.13792016
InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,0.175553761,2.146492047,3.535796782,3.15394161,3.034947286,2.692879652,3.170938607,2.968243825,3.053860038,2.817307814,3.27329461,2.853423731,3.574531304,3.296998354,3.157503443,3.031559595,3.096744137,3.042681032,3.084625277,3.294897959,3.400649125,3.163789747,3.20883234,3.263077131,2.96662063,3.194671478,3.183068851,3.176603899,2.88903425,3.149906185,2.955837991,3.014773252,3.112811483,3.06637604,3.203494566,3.129491782,3.095911602,3.238714561,3.182178163,3.174364989,3.162191222,3.198130399,3.250462477,3.066814675,3.237780039,3.185079317,3.124062857,3.071924391,3.161835651,3.035585867,3.163112538,3.129426238,3.164880492,3.109521562,3.134684629,3.185203619,3.110425424,3.145278022,3.105090095,3.112536785,3.159625752,3.144351327,3.092167976,3.134730745,3.105065687,3.119300324,3.177103812,3.147973066,3.133211718,3.148674549,3.120255839,3.153187494,3.202268317,3.183512264,3.18503299,3.166012054,3.175048388,3.143468263,3.222724023,3.135753687,3.13188946,3.093070284,3.112887445,3.109457415,3.134419755,3.188638728,3.102955104,3.149377601,3.187576056,3.133120442,3.176165886,3.185764589,3.125197613,3.206497876,3.157847077,3.122122747,3.179280799,3.121269015,3.119898976,3.17013121
"InChI=1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)",0.212563789,2.250331659,3.493000317,3.102666638,3.028652677,2.60663654,3.172101046,3.009179176,2.98142712,2.726849154,3.269197919,2.878326215,3.490821724,3.344622695,3.145428646,3.081682928,3.062701283,3.057449715,3.056723805,3.307311307,3.51876759,3.241313705,3.240840113,3.272426664,2.876237917,3.089730101,3.275035393,3.263656493,2.886250814,3.152650374,3.276535984,2.87248482,3.1446263,2.882473945,3.317362172,3.264748237,3.225935959,3.140484671,3.164905214,3.175471657,3.147755553,3.04000125,3.125946632,3.213721959,3.091755767,3.154739896,3.196769997,3.028303212,3.148961717,3.137124364,3.042939075,3.152691751,3.214468289,3.11185581,3.123550286,3.043643051,3.124003769,3.157982114,3.185429668,3.107586528,3.166500818,3.129035202,3.079487854,3.140894804,3.039237828,3.124837438,3.149806001,3.136283511,3.17114016,3.146719184,3.097266879,3.133053262,3.135706657,3.192264823,3.163348447,3.143572019,3.219508376,3.150797839,3.142257112,3.146513668,3.141853264,3.110826168,3.102481093,3.144620111,3.171134557,3.150910794,3.129442077,3.148574718,3.175425441,3.163023277,3.177445997,3.221292608,3.124913463,3.225964757,3.17226943,3.127615552,3.191867985,3.132990288,3.150562234,3.160355191
"InChI=1S/C15H18ClN3O/c1-11(12-2-3-12)15(20,8-19-10-17-9-18-19)13-4-6-14(16)7-5-13/h4-7,9-12,20H,2-3,8H2,1H3",0.54037669,2.990459479,4.043911754,3.3291749,3.167806992,2.910429663,2.830478761,3.196254641,3.180339037,3.2359607,2.915622312,3.008292683,2.984794068,2.900993329,3.093891374,3.168608461,3.154401058,3.352585104,3.331865876,3.159882203,2.972056651,3.251358788,3.052381981,2.998958181,2.97314994,3.124208466,3.134098016,3.101043945,3.378576822,3.133757614,3.61471354,2.699015163,2.927564232,3.046891674,3.526632373,3.261662468,3.363452287,3.357428633,3.22298355,3.144278463,3.321569107,2.884804531,3.279684389,3.004019673,2.909378334,3.037563339,3.03018481,3.222004994,3.12567744,3.382531709,3.018924092,3.138927435,3.017854991,3.100166012,2.934015341,3.153737458,3.33979966,3.023215165,2.985644365,3.045876124,3.17256853,3.167660463,3.069624072,3.188663888,3.101037329,3.10420709,3.098005774,3.140477473,3.097904039,3.059149708,3.048722759,3.150846619,3.171899547,3.226883478,3.186342647,3.165474192,3.264424127,3.029331924,3.229041878,3.23319967,3.188890387,3.057271557,2.99123417,3.166750893,3.098917294,3.029039033,3.301924389,3.287891829,3.350010736,3.195372779,3.189714222,3.121773928,3.251891321,3.145170419,3.19114895,3.26153423,3.045953667,2.987440539,3.169481485,3.105310171
"InChI=1S/C7H3I2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",0.309201338,2.499214801,3.282668614,3.132429357,3.077609402,2.957784887,3.237636275,2.941349218,3.137354279,2.980820094,2.97696143,3.01110941,2.916983514,2.928618912,3.212867412,3.153006609,3.089183344,3.254457417,3.164630718,3.261603117,3.52315065,3.260736529,3.023343076,3.206325104,3.446487627,2.782678418,2.868064274,3.003535213,3.077087469,2.960306097,2.835873191,3.089245527,3.160306471,2.904036798,3.019823579,3.410681001,2.907273673,3.170310191,3.053017772,3.205210448,2.991407261,3.264300984,3.204547138,3.042951562,3.292953199,3.131188711,3.102438878,2.981765043,3.118580835,3.062208824,3.148725742,3.077364316,3.057569043,3.166930809,3.319656386,3.091185054,3.145291417,3.135197826,3.014309345,3.121564099,3.169995994,3.125658156,3.08119727,3.133268522,3.135836464,3.116549057,3.170499031,3.142401314,3.130551818,3.158807505,3.110648424,3.140732432,3.234623456,3.135725574,3.169714716,3.183776047,3.167862275,3.132877533,3.131526324,3.1108942,3.132771836,3.131519494,3.126256316,3.133186476,3.109197071,3.18735467,3.121225691,3.124663205,3.204497583,3.180261673,3.164622975,3.181070948,3.143167622,3.223891057,3.162922072,3.133426097,3.176989983,3.133677032,3.157238671,3.167910872
"InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2",0.433526489,2.602319377,3.84352995,3.235462364,3.067237924,2.786676289,2.890741918,3.046628984,3.01047368,3.114261576,2.830702322,3.031186108,3.130457869,2.690989714,3.241147965,2.913286779,3.202146316,3.107353693,3.265150319,3.123894296,3.019584761,3.061835706,2.971896101,3.041280161,3.159422197,2.930676741,3.127230422,3.062518012,3.330602927,3.244265224,3.434109152,3.397037049,3.105883893,3.277013818,3.298920661,2.737195907,3.04073147,3.193606152,3.246640914,3.488523709,3.106575055,3.113381829,3.060390713,3.049721897,3.183407949,3.201622202,3.062594985,3.084447823,3.26171659,2.863663656,3.440861113,3.169914318,3.223513844,3.086663123,3.060391286,2.934227038,2.955924344,3.062143201,3.188636997,3.081374399,3.124186736,3.141328278,3.180592632,2.951259075,3.060654059,3.11181113,3.149044399,3.118581567,3.167159994,3.293283016,3.088206747,3.0575469,3.007905926,3.299914657,3.026546799,3.072608029,3.19410504,3.12474358,3.23104238,2.999710482,3.217838462,2.998024177,3.100360636,3.195945946,3.139095008,3.189976911,3.189852379,3.161360928,3.179856776,3.137855424,3.132497609,3.129226941,3.223683299,2.961212261,3.098379156,3.117216852,3.128882287,3.172665288,3.188518205,3.148689107
"InChI=1S/C22H17N3O5/c1-27-13-17(22(26)28-2)16-8-4-6-10-19(16)30-21-11-20(24-14-25-21)29-18-9-5-3-7-15(18)12-23/h3-11,13-14H,1-2H3",0.709912925,4.152933925,3.353972054,2.984845232,2.976195026,3.174526035,2.884283437,3.158709105,3.15548904,3.035856819,2.832536147,3.557369016,2.434307882,2.682164778,3.277157987,3.10981601,3.206897241,3.035685347,3.33107843,3.192917196,2.95574607,3.245203857,2.901052003,3.338633803,3.091639394,3.146714956,3.099833352,3.143791086,3.091615424,3.137350715,2.342929737,3.150568635,3.178607793,2.728635618,3.15894298,3.043076303,3.486426202,3.38323588,3.32368484,3.113128739,3.716305716,2.901517105,3.240200328,2.969252708,2.990306851,2.755857255,2.845769721,3.680863217,3.339693481,3.072070035,3.295074865,3.1969161,3.236625784,3.105433491,3.16301153,3.208289755,3.363030968,2.978370946,3.285367156,3.087553918,3.190334305,3.055312495,3.249121933,2.898476993,3.028677532,3.121734907,3.234286647,2.965100907,3.177972549,3.107426171,3.112254029,3.073504982,3.199688638,3.243788192,3.117267112,3.058906616,3.033995228,3.166822486,3.378307136,3.187770374,3.131581433,3.005064751,3.051165638,3.120526514,3.096740428,3.236503199,3.201992513,3.192072282,3.190640719,2.929500015,3.306683074,3.226025088,3.119389006,3.126807651,3.067985859,3.058627907,3.193493346,3.105590836,3.015722636,3.21542727
"InChI=1S/C8H14N4OS/c1-8(2,3)5-6(13)12(9)7(14-4)11-10-5/h9H2,1-4H3",0.481988879,2.203016427,3.597370122,2.951594177,3.483835878,3.067678062,2.907162116,3.315296874,2.761421041,3.029326751,3.037398485,3.077708418,3.260660209,2.865374963,3.203952597,3.0648718,3.150159041,3.094913217,3.282750353,3.100761191,3.424998066,3.121694524,3.386405508,3.256116976,3.417128021,2.884842693,3.215972651,3.057124085,3.419299081,3.163666388,3.136400619,3.035121034,3.087797112,3.455997266,3.278843467,3.052903018,3.098808555,3.05074284,3.206128586,3.15364987,3.071053169,3.258756171,2.990263641,3.121888826,3.242841272,3.079046691,3.23080621,3.302255167,3.21225351,2.878863518,3.16704518,3.026509566,3.208325326,3.115569192,3.052907769,3.09456096,3.152288189,3.100827541,2.805775132,3.170099102,3.110052121,3.203066714,3.177305834,2.986226834,3.01672601,2.793883759,3.043874561,3.312391063,3.202908593,3.318908501,2.821964353,3.005625652,3.212586405,3.300678193,2.988759487,3.196713406,3.336631605,3.218536612,3.470051312,3.135988324,3.262901182,3.19336671,3.154434823,3.244295445,3.106900494,3.208489503,3.223219801,3.257853038,3.492035467,3.210705362,3.137234969,2.935580799,3.081417424,2.999783165,3.040734824,3.2219603,3.010462462,3.187605021,3.173534503,3.031202825
"InChI=1S/C7H12N4O2/c1-7(2,3)4-5(12)11(8)6(13)10-9-4/h8H2,1-3H3,(H,10,13)",0.451708941,2.192024684,3.642291293,3.174959684,3.101981044,2.849374099,3.039578153,3.435999597,2.72706563,2.887224426,3.143840306,2.971164315,3.547740131,3.15588892,3.167979978,3.104365172,3.171630022,2.996621124,3.182376884,3.159049839,3.456359167,3.042795391,3.542076253,3.175613682,2.994385297,3.194703892,3.302596498,3.238433416,2.935446223,3.163836904,2.928491087,3.049730856,3.054488688,3.156594556,3.302946862,3.026391261,3.143219459,3.08032068,3.184056795,3.266693317,3.00474082,3.337594218,3.023563755,3.097705862,3.18527442,3.210364212,3.247471026,3.166751953,3.300032428,2.964598289,3.33474295,3.070949746,3.276908132,3.096922523,2.960418623,3.005780448,3.23299303,3.081910313,2.93373649,3.147736523,3.123803031,3.261585707,3.005929792,3.04101837,3.03089805,3.113885527,3.114941462,3.156737521,3.171869013,3.208031539,2.981104262,3.038035133,3.183151262,3.418117236,2.990825611,3.095100496,3.220417582,3.09436438,3.336358799,3.095146424,3.148842316,3.092687492,3.08812846,3.178598462,3.119518864,3.224530211,3.153562441,3.197498958,3.467749463,3.227109634,3.183762663,2.998270025,3.230862803,3.004859202,2.989427796,3.095595775,2.976043297,3.140525601,3.160221705,3.07235148
