inchi,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
"InChI=1S/C10H9N3O/c1-7-11-10(14)9(13-12-7)8-5-3-2-4-6-8/h2-6H,1H3,(H,11,12,14)",0.390191361,2.566178209,4.02795192,3.136284654,2.91860535,2.826939507,2.726841858,3.229098225,3.159588493,2.875315292,3.017151444,3.012042693,3.477634661,3.092805043,3.184806022,2.938538843,3.163310953,3.084476131,3.210404327,3.152095863,3.063022523,3.114340375,3.093021021,3.127640803,2.696334664,3.306917597,3.0982487,3.312618863,2.774976347,3.241683577,3.256628144,3.463170022,3.138510755,2.973705591,3.219915521,2.949399394,3.2329274,3.321714485,3.172305141,3.307634069,3.197297277,3.070039187,3.303847634,3.107695629,3.169360579,3.144625197,3.112594621,3.248682888,3.159128743,3.171779354
"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",0.231849591,2.351510905,3.420426084,3.129317032,3.054681698,2.74482022,3.172081128,2.966568058,3.063495903,2.845738126,3.143729401,2.92093871,3.208147395,3.068047139,3.175661771,3.084814897,3.129339803,3.16444803,3.141715387,3.256701731,3.421818683,3.18405713,3.087720885,3.260197599,3.369083788,2.98477297,3.024816561,2.944379503,3.342393423,3.070870347,3.135650757,2.985416014,3.113740708,3.355931983,3.051454008,3.141446228,2.945482363,3.312394238,3.065134858,3.164833268,3.153694123,3.094963135,3.184978327,3.066758481,3.222418792,3.04338078,3.145705114,3.114116184,3.249401998,3.033581428
"InChI=1S/C14H19NO2/c1-4-12-7-5-6-10(2)14(12)15-11(3)8-17-9-13(15)16/h5-7,11H,4,8-9H2,1-3H3",0.604808387,2.713246846,3.642120882,3.326817835,3.14017241,2.93699648,2.939413342,2.954148537,2.8823448,3.078158653,3.013154713,2.88650562,3.039197883,2.856258594,3.314826401,2.92357314,3.339554207,3.162383132,3.141105769,3.156121999,2.986736205,2.992899015,2.907908145,3.176845526,3.305944322,3.182980822,3.209196495,2.883493128,3.359629794,3.216737449,3.554962732,3.32253724,3.187527933,3.071484554,3.409470028,2.777344931,2.967365662,3.262289887,3.173981654,3.225831596,3.136000483,3.198281879,3.163578453,3.096920205,3.285991119,3.206378776,3.274741685,3.085374703,3.197303092,2.994459647
"InChI=1S/C12H16ClNOS/c1-3-14(4-2)12(15)16-9-10-7-5-6-8-11(10)13/h5-8H,3-4,9H2,1-2H3",0.418826587,2.135914067,3.484223443,2.881777518,3.621323799,3.085146982,3.052832754,2.82449096,2.986214164,2.954480407,3.305330517,3.046742753,3.17202219,2.921457175,3.131881223,2.80944967,3.142126611,3.130202775,3.12375625,3.204272426,3.381188378,3.288613796,3.074817306,3.277442657,3.558572163,3.021450355,3.186196815,3.007936226,3.261119504,3.183456079,3.329798693,2.95356872,3.185541496,3.427445789,3.117927169,3.179437787,3.065642938,3.128395397,3.286412105,3.022290869,3.247144929,3.289787574,3.406880551,3.244478286,3.343620001,3.095233509,3.307459714,3.350846075,2.846608544,2.870189839
"InChI=1S/C14H21NOS/c1-3-10-15(11-4-2)14(16)17-12-13-8-6-5-7-9-13/h5-9H,3-4,10-12H2,1-2H3",0.496771622,2.130191,3.547668505,2.84086501,3.610518442,3.118874391,3.153276434,2.797990023,3.027823885,2.956550288,3.33455329,2.963652787,3.188973482,2.838109307,3.142230888,2.721678792,3.188179743,3.150322043,3.152377233,3.16123138,3.282538832,3.33764124,2.994865626,3.283779666,3.477525191,2.942014065,3.31031646,3.10806057,3.249276279,3.240582593,3.329785803,2.940854361,3.1860537,3.446209483,3.000682559,3.181811395,3.052155423,3.114364588,3.208715775,3.005915611,3.258574329,3.304988928,3.458715097,3.254390614,3.313819315,3.067540849,3.331451413,3.382069642,2.83127444,2.926163048
InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,0.175553761,2.146492047,3.535796782,3.15394161,3.034947286,2.692879652,3.170938607,2.968243825,3.053860038,2.817307814,3.27329461,2.853423731,3.574531304,3.296998354,3.157503443,3.031559595,3.096744137,3.042681032,3.084625277,3.294897959,3.400649125,3.163789747,3.20883234,3.263077131,2.96662063,3.194671478,3.183068851,3.176603899,2.88903425,3.149906185,2.955837991,3.014773252,3.112811483,3.06637604,3.203494566,3.129491782,3.095911602,3.238714561,3.182178163,3.174364989,3.162191222,3.198130399,3.250462477,3.066814675,3.237780039,3.185079317,3.124062857,3.071924391,3.161835651,3.035585867
"InChI=1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)",0.212563789,2.250331659,3.493000317,3.102666638,3.028652677,2.60663654,3.172101046,3.009179176,2.98142712,2.726849154,3.269197919,2.878326215,3.490821724,3.344622695,3.145428646,3.081682928,3.062701283,3.057449715,3.056723805,3.307311307,3.51876759,3.241313705,3.240840113,3.272426664,2.876237917,3.089730101,3.275035393,3.263656493,2.886250814,3.152650374,3.276535984,2.87248482,3.1446263,2.882473945,3.317362172,3.264748237,3.225935959,3.140484671,3.164905214,3.175471657,3.147755553,3.04000125,3.125946632,3.213721959,3.091755767,3.154739896,3.196769997,3.028303212,3.148961717,3.137124364
"InChI=1S/C15H18ClN3O/c1-11(12-2-3-12)15(20,8-19-10-17-9-18-19)13-4-6-14(16)7-5-13/h4-7,9-12,20H,2-3,8H2,1H3",0.54037669,2.990459479,4.043911754,3.3291749,3.167806992,2.910429663,2.830478761,3.196254641,3.180339037,3.2359607,2.915622312,3.008292683,2.984794068,2.900993329,3.093891374,3.168608461,3.154401058,3.352585104,3.331865876,3.159882203,2.972056651,3.251358788,3.052381981,2.998958181,2.97314994,3.124208466,3.134098016,3.101043945,3.378576822,3.133757614,3.61471354,2.699015163,2.927564232,3.046891674,3.526632373,3.261662468,3.363452287,3.357428633,3.22298355,3.144278463,3.321569107,2.884804531,3.279684389,3.004019673,2.909378334,3.037563339,3.03018481,3.222004994,3.12567744,3.382531709
"InChI=1S/C7H3I2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H",0.309201338,2.499214801,3.282668614,3.132429357,3.077609402,2.957784887,3.237636275,2.941349218,3.137354279,2.980820094,2.97696143,3.01110941,2.916983514,2.928618912,3.212867412,3.153006609,3.089183344,3.254457417,3.164630718,3.261603117,3.52315065,3.260736529,3.023343076,3.206325104,3.446487627,2.782678418,2.868064274,3.003535213,3.077087469,2.960306097,2.835873191,3.089245527,3.160306471,2.904036798,3.019823579,3.410681001,2.907273673,3.170310191,3.053017772,3.205210448,2.991407261,3.264300984,3.204547138,3.042951562,3.292953199,3.131188711,3.102438878,2.981765043,3.118580835,3.062208824
"InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2",0.433526489,2.602319377,3.84352995,3.235462364,3.067237924,2.786676289,2.890741918,3.046628984,3.01047368,3.114261576,2.830702322,3.031186108,3.130457869,2.690989714,3.241147965,2.913286779,3.202146316,3.107353693,3.265150319,3.123894296,3.019584761,3.061835706,2.971896101,3.041280161,3.159422197,2.930676741,3.127230422,3.062518012,3.330602927,3.244265224,3.434109152,3.397037049,3.105883893,3.277013818,3.298920661,2.737195907,3.04073147,3.193606152,3.246640914,3.488523709,3.106575055,3.113381829,3.060390713,3.049721897,3.183407949,3.201622202,3.062594985,3.084447823,3.26171659,2.863663656
